Machine_ID,variable,recent_mean,center,sigma,level,maturity_S,urgency_U,health_index,trend_significant,machine_health
LD-02,Clean_Flow_lpm,8.3895,8.3675,0.2118,96.54,0.161,0.013,90.28,False,25.88
LD-02,Clean_Pressure_bar,2.3445,2.3498,0.063,97.15,0.165,0.022,90.69,False,25.88
LD-02,Clean_Time_s,13.9785,14.0006,0.4271,98.27,0.206,0.022,90.09,False,25.88
LD-02,Vibration_mm_s,1.0313,0.8594,0.0938,38.87,1.0,1.0,25.88,True,25.88
LD-03,Laser_Power_W,18.508,18.4997,0.0558,95.06,0.023,0.02,94.18,False,27.62
LD-03,Laser_Frequency_kHz,100.0858,99.997,0.6293,95.3,0.046,0.053,93.26,False,27.62
LD-03,Power_Efficiency_pct,94.9155,94.8909,0.0899,90.87,0.006,0.012,90.45,False,27.62
LD-03,Beam_Center_Offset_um,0.0202,0.0006,0.1166,94.4,1.0,0.006,56.42,False,27.62
LD-03,Feed_Speed_mm_s,250.1479,249.9966,0.7313,93.1,0.019,0.015,92.4,False,27.62
LD-03,Focus_Offset_um,0.0364,0.0012,0.2075,94.34,1.0,0.02,56.39,False,27.62
LD-03,Head_Temp_C,28.5058,28.3949,0.6279,94.11,0.149,0.004,88.47,False,27.62
LD-03,Coolant_Flow_lpm,12.6472,12.6008,0.2403,93.56,0.133,0.01,88.55,False,27.62
LD-03,Clean_Flow_lpm,7.9993,8.3675,0.2118,42.04,0.91,1.0,27.62,True,27.62
LD-03,Clean_Pressure_bar,2.3622,2.3498,0.063,93.48,0.187,0.012,86.47,False,27.62
LD-03,Clean_Time_s,14.0736,14.0006,0.4271,94.3,0.219,0.012,86.0,False,27.62
LD-03,Vibration_mm_s,0.8708,0.8594,0.0938,95.95,0.675,0.014,69.83,False,27.62
LD-04,Laser_Power_W,18.5103,18.4997,0.0558,93.69,0.021,0.03,92.56,False,54.95
LD-04,Laser_Frequency_kHz,100.1299,99.997,0.6293,92.96,0.04,0.002,91.49,False,54.95
LD-04,Power_Efficiency_pct,94.9142,94.8909,0.0899,91.35,0.006,0.008,91.06,False,54.95
LD-04,Beam_Center_Offset_um,0.0225,0.0006,0.1166,93.75,1.0,0.012,56.06,False,54.95
LD-04,Feed_Speed_mm_s,250.1098,249.9966,0.7313,94.84,0.019,0.016,94.12,False,54.95
LD-04,Focus_Offset_um,0.0527,0.0012,0.2075,91.72,1.0,0.03,54.95,False,54.95
LD-04,Head_Temp_C,28.505,28.3949,0.6279,94.16,0.128,0.036,89.3,False,54.95
LD-04,Coolant_Flow_lpm,12.6528,12.6008,0.2403,92.79,0.126,0.007,88.1,False,54.95
LD-04,Clean_Flow_lpm,8.4513,8.3675,0.2118,86.81,0.145,0.005,81.81,False,54.95
LD-04,Clean_Pressure_bar,2.3606,2.3498,0.063,94.29,0.19,0.027,87.08,False,54.95
LD-04,Clean_Time_s,14.0696,14.0006,0.4271,94.61,0.223,0.012,86.13,False,54.95
LD-04,Vibration_mm_s,0.8646,0.8594,0.0938,98.16,0.68,0.005,71.17,False,54.95
LD-05,Laser_Power_W,18.4883,18.4997,0.0558,93.16,0.019,0.002,92.44,False,22.49
LD-05,Laser_Frequency_kHz,99.9091,99.997,0.6293,95.34,0.047,0.028,93.56,False,22.49
LD-05,Power_Efficiency_pct,94.7094,94.8909,0.0899,32.7,0.036,1.0,22.49,True,22.49
LD-05,Beam_Center_Offset_um,-0.021,0.0006,0.1166,93.81,1.0,0.015,56.1,False,22.49
LD-05,Feed_Speed_mm_s,249.8965,249.9966,0.7313,95.44,0.02,0.007,94.65,False,22.49
LD-05,Focus_Offset_um,-0.0482,0.0012,0.2075,92.06,1.0,0.01,55.13,False,22.49
LD-05,Head_Temp_C,28.3001,28.3949,0.6279,94.97,0.171,0.005,88.43,False,22.49
LD-05,Coolant_Flow_lpm,12.5633,12.6008,0.2403,94.8,0.14,0.023,89.47,False,22.49
LD-05,Clean_Flow_lpm,8.3617,8.3675,0.2118,99.09,0.147,0.015,93.2,False,22.49
LD-05,Clean_Pressure_bar,2.3384,2.3498,0.063,93.92,0.211,0.0,85.94,False,22.49
LD-05,Clean_Time_s,13.9181,14.0006,0.4271,93.56,0.212,0.006,85.58,False,22.49
LD-05,Vibration_mm_s,0.833,0.8594,0.0938,90.61,0.715,0.015,64.68,False,22.49
LD-06,Laser_Power_W,18.5021,18.4997,0.0558,98.55,0.021,0.003,97.73,False,58.48
LD-06,Laser_Frequency_kHz,100.0355,99.997,0.6293,97.96,0.045,0.002,96.18,False,58.48
LD-06,Power_Efficiency_pct,94.9045,94.8909,0.0899,94.95,0.006,0.002,94.72,False,58.48
LD-06,Beam_Center_Offset_um,0.0071,0.0006,0.1166,98.15,1.0,0.009,58.48,False,58.48
LD-06,Feed_Speed_mm_s,250.049,249.9966,0.7313,97.61,0.021,0.024,96.68,False,58.48
LD-06,Focus_Offset_um,0.0123,0.0012,0.2075,98.22,1.0,0.007,58.52,False,58.48
LD-06,Head_Temp_C,28.4279,28.3949,0.6279,98.25,0.166,0.003,91.65,False,58.48
LD-06,Coolant_Flow_lpm,12.6178,12.6008,0.2403,97.65,0.123,0.006,92.81,False,58.48
LD-06,Clean_Flow_lpm,8.4146,8.3675,0.2118,92.58,0.163,0.014,86.53,False,58.48
LD-06,Clean_Pressure_bar,2.3539,2.3498,0.063,97.88,0.173,0.009,91.05,False,58.48
LD-06,Clean_Time_s,14.039,14.0006,0.4271,97.01,0.206,0.017,88.95,False,58.48
LD-06,Vibration_mm_s,0.8532,0.8594,0.0938,97.8,0.696,0.009,70.3,False,58.48
