factor,target,n,spearman,p_value,q_value,r2,significant
Step06_D1,FR_BRIDGE,983,0.3523732482846559,4.107733754963714e-30,2.636591898534849e-29,0.12416690610667974,True
Step16_D1,FR_SHORT,983,0.3509309124515838,7.276735725791354e-30,4.463064578485363e-29,0.12315250531410118,True
Step23_R3,Yield_pct,2620,-0.35008460268868874,2.087736964742252e-76,5.762154022688615e-75,0.12255922903969706,True
Step20_D1,FR_PARTICLE,991,0.3443212139782884,5.78886348271391e-29,3.2606659616919172e-28,0.11855709839548227,True
Step18_D1,FR_OPEN,965,0.341314975767164,9.395788159059095e-28,4.901165571589434e-27,0.11649591268293977,True
Step09_D1,FR_SHORT,965,0.3396726269194846,1.735954727674877e-27,8.711336451604837e-27,0.11537749347838336,True
Step24_D1,FR_SHORT,933,0.335353896262927,5.877879881282033e-26,2.4958382265136014e-25,0.112462235738726,True
Step24_D1,FR_BRIDGE,933,0.33480775095112836,7.132921821473963e-26,2.982858216252748e-25,0.1120962300969528,True
Step13_D1,FR_SHORT,971,0.3340435152413608,9.677219858436875e-27,4.526970645641657e-26,0.11158507007480523,True
Step13_D1,FR_OPEN,971,0.3323143354746545,1.8226008153480162e-26,8.113513307033104e-26,0.11043281756196122,True
Step16_D1,FR_VOID,983,0.3261909877666969,8.403782295745206e-26,3.40524422427114e-25,0.10640056050021342,True
Step16_D1,FR_BRIDGE,983,0.3255899500379447,1.0438233553390337e-25,4.1156463724796185e-25,0.10600881556571135,True
Step13_D1,FR_BRIDGE,971,0.3224694117079681,6.205851896724541e-25,2.2837534979946314e-24,0.10398652148728305,True
Step09_D1,FR_BRIDGE,965,0.32171701418812326,1.125287782027392e-24,3.981787536404618e-24,0.1035018372181211,True
Step02_D1,FR_BRIDGE,971,0.3214454786246841,8.890627098402888e-25,3.1867702326742817e-24,0.10332719572825223,True
Step02_D1,FR_SHORT,971,0.32037455608823556,1.2929600491177011e-24,4.5171768804618414e-24,0.10263985618873399,True
Step09_D1,FR_OPEN,965,0.3178667583117469,4.265879777103648e-24,1.4358327054641548e-23,0.1010392760396185,True
Step18_D1,FR_BRIDGE,965,0.31543728035204677,9.792006637205545e-24,3.2173736093675365e-23,0.09950067783589575,True
Step20_D1,FR_SHORT,991,0.31007890370185887,1.5799367101015782e-23,5.012213011356731e-23,0.09614892652094667,True
Step09_D1,FR_VOID,965,0.30895605054507963,8.656667343282811e-23,2.6255386667539077e-22,0.0954538411684138,True
Step06_D1,FR_SHORT,983,0.3021055817698136,3.4226664091791485e-22,9.840165926390051e-22,0.09126778253647753,True
Step20_D1,FR_BRIDGE,991,0.3012328357507979,3.1046613148435816e-22,9.01985813575609e-22,0.09074122133446719,True
Step06_D1,FR_OPEN,983,0.3008374322926154,5.191785964937953e-22,1.4772504395081187e-21,0.09050316066841395,True
Step20_D1,FR_OPEN,991,0.2975060449091586,1.0560621143194305e-21,2.8858727084372555e-21,0.0885098467574903,True
Step18_D1,FR_SHORT,965,0.2966090973178273,4.743307925044492e-21,1.2710223177789123e-20,0.08797695661169636,True
Step13_D1,FR_VOID,971,0.2944923204480408,7.019338591386795e-21,1.8450832868788145e-20,0.08672572680287155,True
Step02_D1,FR_OPEN,971,0.29151982834646345,1.7846450143526694e-20,4.6468115468050634e-20,0.08498381031915152,True
Step20_D1,FR_VOID,991,0.2801896670653453,2.4732542267332595e-19,6.094805058735532e-19,0.07850624953018906,True
Step16_D1,FR_OPEN,983,0.27835466780767615,5.978694595028514e-19,1.4348867028068434e-18,0.07748132109032174,True
Step24_D1,FR_VOID,933,0.2774567430607538,5.943215654103237e-18,1.3228447746229785e-17,0.07698224426988115,True
Step14_R2,FR_PARTICLE,2664,0.272830177131564,1.0919398415791581e-46,1.6743077570880425e-45,0.07443630555364059,True
Step20_R1,FR_PARTICLE,2673,0.2629373938197449,1.6370821602703298e-43,2.378077243340058e-42,0.06913607306871962,True
Step24_D1,FR_OPEN,933,0.26238454374595604,3.731797867891825e-16,7.304795826511657e-16,0.06884564879677352,True
Step10_R2,Yield_pct,2603,0.25448553287657505,9.332580586496762e-40,1.1199096703796115e-38,0.06476288644347436,True
Step07_R1,FR_PARTICLE,2721,0.25242677639968647,8.06888698048157e-41,1.0122785484604153e-39,0.06371927744353731,True
Step06_D1,FR_VOID,983,0.2499002141943663,1.8410955848393413e-15,3.27833794461715e-15,0.06245011705439016,True
Step22_R1,Yield_pct,2602,-0.24440167315499065,1.0734078736263958e-36,1.1850422924835409e-35,0.059732177840958876,True
Step14_R2,FR_SHORT,2664,0.23974020615828953,3.89508920580006e-36,3.8394450742886307e-35,0.05747536644881917,True
Step23_R3,FR_PARTICLE,2620,0.23745715847079704,6.6144569613406e-35,6.295138349413812e-34,0.05638590210902522,True
Step23_R3,FR_BRIDGE,2620,0.23044340250946965,6.412574300608545e-33,5.56162229832143e-32,0.05310416176014145,True
Step03_R1,Yield_pct,2664,0.22959392463155917,3.3281781915412696e-33,3.0619239362179684e-32,0.05271337022772207,True
Step05_R2,Yield_pct,2640,-0.22958293410231245,6.448257737184266e-33,5.56162229832143e-32,0.05270832363102674,True
Step19_R2,Yield_pct,2583,-0.2266255813444221,1.938840643743095e-31,1.5289143362088406e-30,0.05135915411969728,True
Step14_R2,FR_OPEN,2664,0.22635009526406288,2.6921726272379724e-32,2.2516352882353953e-31,0.05123436562605034,True
Step17_R1,Yield_pct,2627,-0.2246378384575419,2.1021220152505184e-31,1.6116268783587307e-30,0.05046215846687669,True
Step19_R1,Yield_pct,2682,-0.22367695895447848,9.238373674251284e-32,7.499385688509866e-31,0.05003138196712345,True
Step14_R2,FR_BRIDGE,2664,0.22148994341010225,5.807297704469493e-31,4.217932016930474e-30,0.0490577950318103,True
Step05_R3,Yield_pct,2660,0.22062561263627156,1.1004023010206307e-30,7.407586221504733e-30,0.04867566095113015,True
Step04_R1,Yield_pct,2632,0.21988184536483998,3.510048996181538e-30,2.3066036260621535e-29,0.0483480259210474,True
Step05_R1,Yield_pct,2691,-0.2196247357501389,9.451526145802162e-31,6.688772349336915e-30,0.048235024553318344,True
Step23_R3,FR_VOID,2620,0.21746380748418898,2.048961197720442e-29,1.2032197671720041e-28,0.047290507565520404,True
Step10_R1,Yield_pct,2686,-0.21437939606671585,2.705748888222895e-29,1.5558056107281646e-28,0.045958525457929826,True
Step07_R1,FR_OPEN,2721,0.2142033173389179,1.3152096236854916e-29,7.89125774211295e-29,0.045883061158997165,True
Step19_R3,Yield_pct,2559,0.2123455543644314,1.7745113550261448e-27,8.745805964057428e-27,0.04509063445833769,True
Step09_R1,Yield_pct,2642,-0.2113966757625725,4.5074207745138266e-28,2.4880962675316324e-27,0.04468855452346621,True
Step06_R1,Yield_pct,2606,0.2107197868201814,1.5300975552113612e-27,7.820498615524735e-27,0.04440282855754269,True
Step20_R1,FR_BRIDGE,2673,0.20928749509390565,7.6987764968750625e-28,4.1663966924265045e-27,0.04380125560268158,True
Step14_R1,Yield_pct,2627,-0.20843133406579692,3.568044473301789e-27,1.727684692335603e-26,0.04344362102044783,True
Step12_R2,Yield_pct,2707,-0.20765767757574308,9.411658525153624e-28,4.901165571589434e-27,0.04312171105615127,True
Step01_R1,Yield_pct,2633,-0.2059632319022138,1.2873406171237008e-26,5.921766838769023e-26,0.0424208528956051,True
Step12_R1,Yield_pct,2611,-0.20487620423939815,3.8457579841366036e-26,1.6584831306589103e-25,0.04197425906354358,True
Step23_R1,Yield_pct,2723,-0.2046557423840861,3.8839078709883605e-27,1.8482044351599784e-26,0.04188397289078141,True
Step20_R1,FR_OPEN,2673,0.20433153037851623,1.3763146412759676e-26,6.227259688396182e-26,0.0417513743068265,True
Step23_R2,Yield_pct,2667,-0.20334786748648326,2.747591629158648e-26,1.203706808964741e-25,0.04135035521130036,True
Step03_R2,Yield_pct,2645,0.20217301901196774,8.51311056067785e-26,3.40524422427114e-25,0.04087392961641347,True
Step23_R3,FR_SHORT,2620,0.201570750395884,2.0139609571508937e-25,7.720183669078425e-25,0.04063076741515977,True
Step02_R1,Yield_pct,2611,-0.20100441846965775,3.3240637650233288e-25,1.2397859447924847e-24,0.04040277624432529,True
Step10_R2,FR_PARTICLE,2603,-0.19989589159638724,7.20835193274966e-25,2.617769912419613e-24,0.0399583674771146,True
Step07_R1,FR_VOID,2721,0.19938739617419027,8.500069247822678e-26,3.40524422427114e-25,0.039755333753123505,True
Step08_R2,Yield_pct,2711,-0.1985568201265042,1.6692653333396896e-25,6.488975098616258e-25,0.03942481081874894,True
Step07_R1,FR_SHORT,2721,0.1973692333922532,2.666201499618313e-25,1.0080433067050061e-24,0.038954614289845715,True
Step17_R2,Yield_pct,2662,0.19530249983171818,2.7018919668556363e-24,9.321527285651946e-24,0.038143066440518285,True
Step13_R1,Yield_pct,2639,0.19493884652007276,5.164406820194221e-24,1.7173208221368735e-23,0.03800115388257649,True
Step22_R1,FR_PARTICLE,2602,0.19486229064536814,1.1091316021553973e-23,3.601415555233996e-23,0.037971312315559926,True
Step04_R1,FR_PARTICLE,2632,-0.19298789348298542,1.68220508536896e-23,5.276006858657193e-23,0.03724432703100013,True
Step18_R1,Yield_pct,2740,0.19246490666592556,2.83663891143202e-24,9.66558443895355e-24,0.037042740297923434,True
Step15_R1,Yield_pct,2661,-0.19131862843695735,2.3595559121274363e-23,7.317274514013172e-23,0.03660281758699854,True
Step21_R2,Yield_pct,2707,0.1907912977369121,1.3204316318716346e-23,4.237664306936874e-23,0.03640131929213505,True
Step05_R2,FR_PARTICLE,2640,0.19074789609620846,4.7367084057788626e-23,1.4525905777721845e-22,0.036384759865129936,True
Step16_R1,Yield_pct,2597,0.18999155914187302,1.5671422157326621e-22,4.650873672496933e-22,0.03609679254515983,True
Step20_R1,FR_VOID,2673,0.18826642006825636,9.51992120073798e-23,2.855976360221394e-22,0.03544424492531716,True
Step13_R1,FR_PARTICLE,2639,-0.187616134345289,2.479465427037736e-22,7.280132530451225e-22,0.03519981386666953,True
Step19_R2,FR_PARTICLE,2583,0.18722855328739368,8.316621560391484e-22,2.29538755066805e-21,0.03505453116609042,True
Step10_R2,FR_OPEN,2603,-0.1870343964973225,6.401838989736169e-22,1.8029668991501865e-21,0.03498186547311764,True
Step12_R3,Yield_pct,2633,0.18558808865275497,7.837310037440518e-22,2.184947040740993e-21,0.03444293864978284,True
Step24_R1,Yield_pct,2574,0.18373694271304775,5.592618377140896e-21,1.4841948770104685e-20,0.03375926411753779,True
Step08_R2,FR_PARTICLE,2711,0.1797345069472798,4.067181095575339e-21,1.100531355273327e-20,0.03230449298758177,True
Step17_R1,FR_PARTICLE,2627,0.17855551227864808,2.9276784840896435e-20,7.481845014895756e-20,0.031882070965090444,True
Step19_R2,FR_OPEN,2583,0.1784903410947831,6.213211862403026e-20,1.558951340021123e-19,0.031858801864132015,True
Step05_R1,FR_PARTICLE,2691,0.17673853080751278,2.539146902236472e-20,6.549575187077255e-20,0.031236508271998146,True
Step19_R1,FR_SHORT,2682,0.17612041350487023,3.9802824894738534e-20,1.007851345958517e-19,0.031018400053126477,True
Step10_R2,FR_SHORT,2603,-0.17404946878742272,3.7527785014809014e-19,9.085674266743234e-19,0.030293217585184037,True
Step05_R3,FR_OPEN,2660,-0.17397657184247337,1.6006074539910897e-19,3.9798888045183853e-19,0.030267847550059297,True
Step11_R1,Yield_pct,2597,0.17255836176063424,8.295021662987515e-19,1.9736430853315123e-18,0.02977638821351392,True
Step21_R1,Yield_pct,2674,-0.17183761709600934,3.6089518492306903e-19,8.8147850476785e-19,0.02952816664923472,True
Step16_R1,FR_PARTICLE,2597,-0.1713891402525466,1.4296013640670935e-18,3.315714088088385e-18,0.029374237396507085,True
Step03_R1,FR_PARTICLE,2664,-0.17027858772175689,8.805003394745265e-19,2.0770777238886266e-18,0.028994797436516055,True
Step05_R2,FR_BRIDGE,2640,0.17014687171671863,1.3389677296607145e-18,3.131822825308112e-18,0.028949957954985506,True
Step12_R1,FR_PARTICLE,2611,0.1695256446337097,2.746348391526709e-18,6.316601300511431e-18,0.028738944188474825,True
Step03_R1,FR_BRIDGE,2664,-0.16694404560192766,4.189190892229466e-18,9.477185952912563e-18,0.027870314361938504,True
Step15_R1,FR_SHORT,2661,0.16631345205556852,5.850447250439583e-18,1.3127832854644919e-17,0.02766016433463989,True
Step17_R2,FR_PARTICLE,2662,-0.16576428182022176,7.425777669636622e-18,1.639611709455766e-17,0.027477797127373905,True
Step06_R1,FR_PARTICLE,2606,-0.16560149355570186,1.761312786885186e-17,3.858113723653265e-17,0.027423854667879166,True
Step23_R1,FR_PARTICLE,2723,0.16526102328407036,3.975281857015182e-18,9.067585062282564e-18,0.027311205816898044,True
Step12_R2,FR_SHORT,2707,0.1624285386787381,1.838125338360728e-17,3.994666089665834e-17,0.02638303017731032,True
Step08_R1,Yield_pct,2627,0.16131099098885068,8.910278835508182e-17,1.8630583019698927e-16,0.026021235813805065,True
Step10_R1,FR_PARTICLE,2686,0.16075841810842809,5.19203336210286e-17,1.1195321937034292e-16,0.02584326899272418,True
Step10_R1,FR_BRIDGE,2686,0.160625547284965,5.511053308606247e-17,1.1791090799808713e-16,0.025800566440594527,True
Step12_R1,FR_SHORT,2611,0.16056177975825395,1.531110954008374e-16,3.1072545831346415e-16,0.025780085119138048,True
Step12_R3,FR_VOID,2633,-0.16016801588293683,1.3600457911438972e-16,2.8012883459381763e-16,0.025653793311876706,True
Step19_R1,FR_PARTICLE,2682,0.15988489930730637,8.090879077153382e-17,1.7177558656110257e-16,0.0255631810265075,True
Step05_R3,FR_SHORT,2660,-0.15919225540404594,1.466128814557739e-16,2.9974189097624887e-16,0.025342174180626995,True
Step19_R3,FR_VOID,2559,-0.15890144085742292,6.177097256877997e-16,1.1922229670617672e-15,0.025249667906565073,True
Step22_R1,FR_OPEN,2602,0.1587882755584435,3.711900309155221e-16,7.304795826511657e-16,0.025213716454824182,True
Step23_R1,FR_OPEN,2723,0.15855667964023296,8.593527020812504e-17,1.8105446242322526e-16,0.025140220658535464,True
Step09_R1,FR_OPEN,2642,0.15843554466663964,2.5781062450642135e-16,5.119117436242611e-16,0.025101821813814765,True
Step23_R2,FR_PARTICLE,2667,0.1582730565269665,2.0057690326390442e-16,4.040819365024644e-16,0.02505036042238833,True
Step21_R2,FR_PARTICLE,2707,-0.15803012194296043,1.3357320591828116e-16,2.771895100259068e-16,0.024973519441306942,True
Step05_R1,FR_VOID,2691,0.15742287518128856,2.143742249110847e-16,4.287484498221694e-16,0.024781961630343557,True
Step14_R1,FR_PARTICLE,2627,0.15702079706779465,5.754069818501968e-16,1.1183966689482697e-15,0.024655530711805547,True
Step14_R1,FR_VOID,2627,0.15663842599056624,6.7778379053511625e-16,1.2812899053951513e-15,0.024535596496802096,True
Step17_R1,FR_BRIDGE,2627,0.15652034295466924,7.128814191352111e-16,1.3384712359273352e-15,0.024498617758647277,True
Step09_R1,FR_SHORT,2642,0.15636881513648987,6.299326546020376e-16,1.1990442253114647e-15,0.024451206347189742,True
Step19_R2,FR_BRIDGE,2583,0.15632303748156534,1.3476068951090643e-15,2.4795966870006784e-15,0.024436892047462883,True
Step10_R2,FR_BRIDGE,2603,-0.15608036746086754,1.1615364743106158e-15,2.166108560200878e-15,0.02436108110671944,True
Step17_R1,FR_OPEN,2627,0.15523369053461844,1.2326333713956179e-15,2.2832671845985943e-15,0.024097498676997686,True
Step05_R1,FR_OPEN,2691,0.1549640492581933,6.273858983388298e-16,1.1990442253114647e-15,0.02401385656249576,True
Step03_R2,FR_PARTICLE,2645,-0.15421066430516242,1.5239809797382804e-15,2.7855546384620222e-15,0.023780928985439494,True
Step04_R1,FR_SHORT,2632,-0.15418344296068434,1.806954352706723e-15,3.2384376710847763e-15,0.023772534083210603,True
Step19_R2,FR_VOID,2583,0.153931426542976,3.649027764192241e-15,6.4559721981862726e-15,0.023694884077555618,True
Step19_R3,FR_OPEN,2559,-0.1533769303621309,6.131120340368878e-15,1.0576182587136314e-14,0.02352448276730995,True
Step22_R1,FR_SHORT,2602,0.15283333496348298,4.565356258097781e-15,7.974926121740427e-15,0.023358028276060188,True
Step08_R2,FR_SHORT,2711,0.15206044533453628,1.7197047592069424e-15,3.1226217996126057e-15,0.023122379035337495,True
Step05_R2,FR_SHORT,2640,0.15200042290016316,4.0982004307783944e-15,7.204479738183675e-15,0.023104128561828446,True
Step10_R2,FR_VOID,2603,-0.1519930188447216,6.378180908028448e-15,1.0934024413763053e-14,0.023101877777531896,True
Step12_R3,FR_OPEN,2633,-0.15191021764625645,4.623451141363837e-15,8.025613301990057e-15,0.023076714225333004,True
Step18_R1,FR_PARTICLE,2740,-0.15120204684811592,1.7647875819060819e-15,3.1835383830462652e-15,0.02286205897105984,True
Step22_R1,FR_BRIDGE,2602,0.15103389191191433,9.560126091654002e-15,1.6088992690832344e-14,0.02281123650605982,True
Step04_R1,FR_VOID,2632,-0.15033038598159498,8.986329919126612e-15,1.5310043565919412e-14,0.02259922494937533,True
Step06_R1,FR_BRIDGE,2606,-0.15025997693558216,1.2507472444669597e-14,2.054799044481434e-14,0.022578060668681683,True
Step02_R1,FR_OPEN,2611,0.1501954842641735,1.2116663061897936e-14,2.0145777139059218e-14,0.02255868349334959,True
Step09_R1,FR_PARTICLE,2642,0.1496446352231897,1.0609881840358456e-14,1.7747438714781417e-14,0.022393516851081503,False
Step12_R1,FR_VOID,2611,0.1493954909189336,1.6769815179288403e-14,2.7226288173432935e-14,0.02231901270690917,False
Step22_R1,FR_VOID,2602,0.14918515280448655,2.024072193511806e-14,3.229155638203806e-14,0.022256209817298,False
Step03_R1,FR_SHORT,2664,-0.1486646255894421,1.2341483017108537e-14,2.039670247138896e-14,0.022101170901649002,False
Step01_R1,FR_VOID,2633,0.14863105826757728,1.779103368957961e-14,2.85484028972324e-14,0.022091191481739953,False
Step12_R2,FR_PARTICLE,2707,0.14821442466107038,9.138309350410781e-15,1.547345632339494e-14,0.021967515677612105,False
Step24_R1,FR_PARTICLE,2574,-0.14712315276240973,6.310968022409751e-14,9.570478979038963e-14,0.021645222078751348,False
Step12_R2,FR_OPEN,2707,0.14671995195504406,1.697406998630954e-14,2.739674453930663e-14,0.021526744301690437,False
Step21_R1,FR_PARTICLE,2674,0.14657531481059102,2.593456735863093e-14,4.113758960334561e-14,0.021484322911823863,False
Step23_R1,FR_VOID,2723,0.14642074981034553,1.6097421107053378e-14,2.6289279441104924e-14,0.0214390359750238,False
Step05_R2,FR_VOID,2640,0.14618066516374426,4.422661979212612e-14,6.935538103765233e-14,0.021368786867714713,False
Step01_R1,FR_OPEN,2633,0.14558011043528918,6.0685626557853e-14,9.253719850810733e-14,0.02119356855435099,False
Step01_R1,FR_PARTICLE,2633,0.14544385920781858,6.406532892825978e-14,9.662311903934262e-14,0.021153916181263752,False
Step03_R1,FR_OPEN,2664,-0.14538727554565614,4.678607635497353e-14,7.254470266276795e-14,0.021137459890588545,False
Step04_R1,FR_BRIDGE,2632,-0.14522069097644066,7.076772675268134e-14,1.0615159012902201e-13,0.021089049087674876,False
Step19_R1,FR_VOID,2682,0.1450081248821322,4.4848504683048856e-14,6.993326153966941e-14,0.021027356281832044,False
Step18_R1,FR_VOID,2740,-0.14434051790296526,3.1538247985894306e-14,4.974032253775331e-14,0.020834185108496234,False
Step10_R1,FR_SHORT,2686,0.14428959600631494,5.738546811330755e-14,8.799105110707158e-14,0.020819487515665577,False
Step17_R1,FR_SHORT,2627,0.1442526517212526,1.0947922402426556e-13,1.6158430925506575e-13,0.020808827528613,False
Step05_R1,FR_SHORT,2691,0.1441622537542024,5.725882648900604e-14,8.799105110707158e-14,0.020782755407491048,False
Step05_R3,FR_VOID,2660,-0.1439799653731174,8.573197898801277e-14,1.279028443280623e-13,0.02073023042884409,False
Step19_R3,FR_SHORT,2559,-0.14353170312427732,2.9859490934462323e-13,4.301614863297685e-13,0.02060134980175568,False
Step06_R1,FR_VOID,2606,-0.14292506130470303,2.295654269652065e-13,3.352384012825238e-13,0.02042757314895312,False
Step10_R1,FR_VOID,2686,0.14272757813812142,1.0719164468471851e-13,1.5905856953216295e-13,0.020371161561173558,False
Step19_R1,FR_BRIDGE,2682,0.141375481755381,1.9076429194309576e-13,2.8005821583135334e-13,0.01998702684156607,False
Step19_R3,FR_PARTICLE,2559,-0.14089165378433186,8.098329097074462e-13,1.106504371679481e-12,0.019850458106084032,False
Step19_R1,FR_OPEN,2682,0.14082961011309617,2.3636836319282904e-13,3.433561486380043e-13,0.019832979084606676,False
Step05_R3,FR_BRIDGE,2660,-0.14079995356338335,2.992427730989694e-13,4.301614863297685e-13,0.019824626923450907,False
Step11_R1,FR_PARTICLE,2597,-0.14079742187083658,5.693770804558019e-13,7.977059604355398e-13,0.01982391400547433,False
Step05_R3,FR_PARTICLE,2660,-0.14034687020590417,3.5676257152937654e-13,5.075591223819996e-13,0.01969724397659291,False
Step12_R3,FR_PARTICLE,2633,-0.14027363906237925,4.823380440940486e-13,6.826938470254227e-13,0.01967669381580265,False
Step01_R1,FR_SHORT,2633,0.13954737500088965,6.367202352617882e-13,8.786739246612677e-13,0.019473469869638924,False
Step08_R1,FR_PARTICLE,2627,-0.1395122769193423,6.852484231297482e-13,9.409381332527886e-13,0.019463675411219246,False
Step12_R2,FR_BRIDGE,2707,0.13936607756814148,3.2581154842509874e-13,4.659273956752708e-13,0.01942290357672923,False
Step02_R1,FR_PARTICLE,2611,0.1390128477053112,9.71150101828054e-13,1.3011525636142858e-12,0.019324571827140043,False
Step03_R1,FR_VOID,2664,-0.13876304450462704,6.311704373613337e-13,8.753921643805433e-13,0.019255182520193103,False
Step14_R1,FR_BRIDGE,2627,0.1387481680179501,9.156642999943295e-13,1.2327968136509022e-12,0.01925105412833731,False
Step23_R2,FR_BRIDGE,2667,0.138746643710641,6.165662967174398e-13,8.594560499697646e-13,0.019250631140967554,False
Step02_R1,FR_SHORT,2611,0.1383517955491233,1.245071025731186e-12,1.6521134764509967e-12,0.019141219331666414,False
Step15_R1,FR_PARTICLE,2661,0.13809312944871766,8.399564052660146e-13,1.142009693859212e-12,0.01906971240094029,False
Step21_R2,FR_SHORT,2707,-0.1380630227804262,5.412660373949607e-13,7.621909506173936e-13,0.019061398259268485,False
Step17_R2,FR_VOID,2662,-0.1379173180805406,8.894132807936668e-13,1.2033238504855493e-12,0.019021186626529015,False
Step03_R2,FR_SHORT,2645,-0.13775438111175545,1.1171514782071842e-12,1.4895353042762457e-12,0.018976269515482765,False
Step03_R2,FR_OPEN,2645,-0.13687611815510253,1.555523609750387e-12,2.054184288474195e-12,0.018735071721209588,False
Step17_R1,FR_VOID,2627,0.13647318190660948,2.150008621646392e-12,2.8257256170209724e-12,0.018624929379714522,False
Step14_R1,FR_OPEN,2627,0.13618300119135257,2.394876901594647e-12,3.1326351888157466e-12,0.018545809813483936,False
Step24_R1,FR_BRIDGE,2574,-0.13533254388657243,5.407474139104253e-12,6.909550288855435e-12,0.018314897434811052,False
Step23_R2,FR_SHORT,2667,0.1346706783451389,2.881795016729232e-12,3.75177087083617e-12,0.018136191605939864,False
Step05_R2,FR_OPEN,2640,0.1346582111988534,3.724752991200168e-12,4.826440495639654e-12,0.01813283384327501,False
Step15_R1,FR_BRIDGE,2661,0.13312656215260904,5.394052324605208e-12,6.909550288855435e-12,0.017722681550572477,False
Step09_R1,FR_VOID,2642,0.13307256191503486,6.542555741427187e-12,8.321407302460386e-12,0.017708306734630787,False
Step02_R1,FR_VOID,2611,0.13296587511185518,9.019665010866777e-12,1.1367249054791006e-11,0.017679923944261468,False
Step03_R2,FR_BRIDGE,2645,-0.1323357537164179,8.325936993559758e-12,1.0541094542305015e-11,0.017512751711692413,False
Step18_R1,FR_SHORT,2740,-0.13167505120783868,4.531316982144155e-12,5.844128444260686e-12,0.017338319110586937,False
Step02_R1,FR_BRIDGE,2611,0.13160058479315787,1.4715620345828398e-11,1.8377878802935013e-11,0.017318713917901133,False
Step11_R1,FR_SHORT,2597,-0.1308765596154939,2.1541433162919345e-11,2.6424158013181062e-11,0.017128673856787933,False
Step05_R1,FR_BRIDGE,2691,0.13041464564508878,1.1126774242612003e-11,1.395904404982233e-11,0.017007979798734075,False
Step17_R2,FR_BRIDGE,2662,-0.12944827181664628,2.0290830573352283e-11,2.5113314969709553e-11,0.01675685507631634,False
Step06_R1,FR_OPEN,2606,-0.12936421247049557,3.3885121387676806e-11,4.138182965928672e-11,0.01673509946811152,False
Step23_R2,FR_VOID,2667,0.12918878250667154,2.132532980201118e-11,2.6275852791763778e-11,0.016689741525556082,False
Step19_R2,FR_SHORT,2583,0.12890411909566668,4.84568284845209e-11,5.8148194181425077e-11,0.01661627191982982,False
Step06_R1,FR_SHORT,2606,-0.12858082128284581,4.45381094954239e-11,5.3914553599723666e-11,0.016533027601771135,False
