Sample_No,Recipe_Version,Rev_No,Wafer_ID,Tool_ID,Chamber_ID,Site_ID,Zone,Radius_frac,Angle_deg,Top_CD_nm,Mid_CD_nm,Bottom_CD_nm,Depth_nm,Top_CD_Pass,Mid_CD_Pass,Bottom_CD_Pass,Depth_Pass,Defect_Count,Defect_Severity,Anomaly_Event
32,Rev5,5,W002,AE-3200,CH-B,MID-02,Mid,0.52,90.0,71.92,67.88,69.43,452.0,True,True,True,True,0,0.0,
33,Rev5,5,W002,AE-3200,CH-B,MID-03,Mid,0.52,150.0,71.03,72.58,68.88,438.7,True,True,True,True,0,0.0,
34,Rev5,5,W002,AE-3200,CH-B,MID-04,Mid,0.52,210.0,73.04,72.07,64.07,457.5,True,True,True,False,1,3.1,arc_event
35,Rev5,5,W002,AE-3200,CH-B,MID-05,Mid,0.52,270.0,73.08,70.02,72.58,415.3,True,True,False,True,0,0.0,
36,Rev5,5,W002,AE-3200,CH-B,MID-06,Mid,0.52,330.0,69.74,68.06,63.71,472.8,True,True,True,False,0,0.0,
37,Rev5,5,W002,AE-3200,CH-B,EDG-01,Edge,0.84,0.0,74.76,70.02,65.34,453.0,True,True,True,False,0,0.0,
38,Rev5,5,W002,AE-3200,CH-B,EDG-02,Edge,0.84,32.7,73.96,69.57,66.67,446.7,True,True,True,True,1,4.77,
39,Rev5,5,W002,AE-3200,CH-B,EDG-03,Edge,0.84,65.5,74.23,69.07,68.29,391.5,True,True,True,True,0,0.0,
40,Rev5,5,W002,AE-3200,CH-B,EDG-04,Edge,0.84,98.2,70.56,68.92,71.75,375.0,True,True,False,False,1,5.67,polymer_residue
41,Rev5,5,W002,AE-3200,CH-B,EDG-05,Edge,0.84,130.9,76.56,70.93,66.33,413.2,False,True,True,True,1,3.59,
42,Rev5,5,W002,AE-3200,CH-B,EDG-06,Edge,0.84,163.6,73.55,71.0,71.12,425.6,True,True,False,True,0,0.0,
43,Rev5,5,W002,AE-3200,CH-B,EDG-07,Edge,0.84,196.4,72.67,72.13,65.25,435.0,True,True,True,True,1,5.06,
44,Rev5,5,W002,AE-3200,CH-B,EDG-08,Edge,0.84,229.1,72.16,72.56,67.32,445.0,True,True,True,True,0,0.0,
45,Rev5,5,W002,AE-3200,CH-B,EDG-09,Edge,0.84,261.8,73.43,71.25,75.82,454.8,True,True,False,False,0,0.0,
46,Rev5,5,W002,AE-3200,CH-B,EDG-10,Edge,0.84,294.5,73.71,69.72,64.63,423.7,True,True,True,True,0,0.0,
47,Rev5,5,W002,AE-3200,CH-B,EDG-11,Edge,0.84,327.3,71.38,70.65,65.36,470.1,True,True,True,False,0,0.0,
48,Rev5,5,W002,AE-3200,CH-B,EXT-01,Extreme Edge,0.96,16.4,73.15,75.44,68.5,420.7,True,False,True,True,0,0.0,
49,Rev5,5,W002,AE-3200,CH-B,EXT-02,Extreme Edge,0.96,49.1,75.59,69.96,67.87,461.6,False,True,True,False,2,8.48,polymer_residue
50,Rev5,5,W002,AE-3200,CH-B,EXT-03,Extreme Edge,0.96,81.8,73.42,68.67,66.67,424.6,True,True,True,True,2,10.37,endpoint_late
51,Rev5,5,W002,AE-3200,CH-B,EXT-04,Extreme Edge,0.96,114.5,74.65,73.35,71.22,410.7,True,False,False,True,1,4.9,pressure_spike
52,Rev5,5,W002,AE-3200,CH-B,EXT-05,Extreme Edge,0.96,147.3,75.44,72.29,68.01,475.0,False,True,True,False,0,0.0,
53,Rev5,5,W002,AE-3200,CH-B,EXT-06,Extreme Edge,0.96,180.0,72.64,70.32,69.95,450.2,True,True,True,True,0,0.0,
54,Rev5,5,W002,AE-3200,CH-B,EXT-07,Extreme Edge,0.96,212.7,74.58,70.56,69.15,418.6,True,True,True,True,1,4.15,
55,Rev5,5,W002,AE-3200,CH-B,EXT-08,Extreme Edge,0.96,245.5,74.79,72.85,72.69,423.0,True,False,False,True,0,0.0,
56,Rev5,5,W002,AE-3200,CH-B,EXT-09,Extreme Edge,0.96,278.2,75.31,70.21,70.02,424.5,False,True,True,True,0,0.0,
57,Rev5,5,W002,AE-3200,CH-B,EXT-10,Extreme Edge,0.96,310.9,75.89,73.25,72.43,473.4,False,False,False,False,0,0.0,
58,Rev5,5,W002,AE-3200,CH-B,EXT-11,Extreme Edge,0.96,343.6,73.57,71.03,69.83,426.0,True,True,True,True,1,5.44,
59,Base,0,W003,AE-3200,CH-A,C1,Center,0.0,0.0,70.93,72.92,66.38,396.7,True,False,True,True,0,0.0,
60,Base,0,W003,AE-3200,CH-A,MID-01,Mid,0.52,30.0,71.98,71.56,66.19,429.0,True,True,True,True,0,0.0,
61,Base,0,W003,AE-3200,CH-A,MID-02,Mid,0.52,90.0,70.58,73.07,69.36,401.4,True,False,True,True,1,5.85,polymer_residue
62,Base,0,W003,AE-3200,CH-A,MID-03,Mid,0.52,150.0,70.09,73.34,67.13,423.6,True,False,True,True,1,6.29,
63,Base,0,W003,AE-3200,CH-A,MID-04,Mid,0.52,210.0,69.73,70.86,68.29,389.6,True,True,True,True,0,0.0,
64,Base,0,W003,AE-3200,CH-A,MID-05,Mid,0.52,270.0,72.47,72.81,70.1,406.6,True,False,True,True,1,6.34,arc_event
65,Base,0,W003,AE-3200,CH-A,MID-06,Mid,0.52,330.0,72.17,74.77,67.51,403.2,True,False,True,True,1,5.24,
66,Base,0,W003,AE-3200,CH-A,EDG-01,Edge,0.84,0.0,71.18,72.76,67.47,386.5,True,True,True,True,0,0.0,
67,Base,0,W003,AE-3200,CH-A,EDG-02,Edge,0.84,32.7,72.77,74.25,64.54,460.1,True,False,True,False,0,0.0,
68,Base,0,W003,AE-3200,CH-A,EDG-03,Edge,0.84,65.5,73.9,73.38,68.26,414.2,True,False,True,True,1,5.18,polymer_residue
69,Base,0,W003,AE-3200,CH-A,EDG-04,Edge,0.84,98.2,74.14,71.66,69.77,416.9,True,True,True,True,1,5.84,
70,Base,0,W003,AE-3200,CH-A,EDG-05,Edge,0.84,130.9,73.1,73.49,70.56,428.6,True,False,True,True,0,0.0,
71,Base,0,W003,AE-3200,CH-A,EDG-06,Edge,0.84,163.6,73.26,72.94,72.33,410.7,True,False,False,True,2,10.25,polymer_residue
72,Base,0,W003,AE-3200,CH-A,EDG-07,Edge,0.84,196.4,72.61,73.95,65.5,453.0,True,False,True,False,1,5.52,
73,Base,0,W003,AE-3200,CH-A,EDG-08,Edge,0.84,229.1,73.41,75.06,74.31,418.8,True,False,False,True,0,0.0,
74,Base,0,W003,AE-3200,CH-A,EDG-09,Edge,0.84,261.8,73.79,74.04,73.54,405.5,True,False,False,True,2,9.3,esc_temp_drift
75,Base,0,W003,AE-3200,CH-A,EDG-10,Edge,0.84,294.5,72.19,72.17,71.37,420.9,True,True,False,True,0,0.0,
76,Base,0,W003,AE-3200,CH-A,EDG-11,Edge,0.84,327.3,73.9,72.04,64.2,426.2,True,True,True,True,0,0.0,
77,Base,0,W003,AE-3200,CH-A,EXT-01,Extreme Edge,0.96,16.4,73.95,75.87,66.32,427.5,True,False,True,True,1,3.29,
78,Base,0,W003,AE-3200,CH-A,EXT-02,Extreme Edge,0.96,49.1,73.02,74.83,73.39,447.0,True,False,False,True,1,6.31,
79,Base,0,W003,AE-3200,CH-A,EXT-03,Extreme Edge,0.96,81.8,72.41,72.52,68.83,447.6,True,True,True,True,0,0.0,
80,Base,0,W003,AE-3200,CH-A,EXT-04,Extreme Edge,0.96,114.5,73.98,75.46,68.35,422.3,True,False,True,True,0,0.0,
81,Base,0,W003,AE-3200,CH-A,EXT-05,Extreme Edge,0.96,147.3,71.12,73.93,76.31,437.4,True,False,False,True,1,4.63,arc_event
82,Base,0,W003,AE-3200,CH-A,EXT-06,Extreme Edge,0.96,180.0,72.74,73.3,72.46,397.1,True,False,False,True,0,0.0,
83,Base,0,W003,AE-3200,CH-A,EXT-07,Extreme Edge,0.96,212.7,72.43,73.74,68.81,438.8,True,False,True,True,1,4.77,polymer_residue
84,Base,0,W003,AE-3200,CH-A,EXT-08,Extreme Edge,0.96,245.5,73.58,72.81,69.96,448.3,True,False,True,True,1,5.93,
85,Base,0,W003,AE-3200,CH-A,EXT-09,Extreme Edge,0.96,278.2,71.47,78.12,71.57,434.7,True,False,False,True,0,0.0,
86,Base,0,W003,AE-3200,CH-A,EXT-10,Extreme Edge,0.96,310.9,73.01,74.47,70.32,435.2,True,False,True,True,1,5.64,
87,Base,0,W003,AE-3200,CH-A,EXT-11,Extreme Edge,0.96,343.6,72.8,71.46,73.3,429.2,True,True,False,True,1,4.74,
88,Rev4,4,W004,AE-3200,CH-A,C1,Center,0.0,0.0,73.26,69.0,63.13,444.2,True,True,True,True,0,0.0,
89,Rev4,4,W004,AE-3200,CH-A,MID-01,Mid,0.52,30.0,73.81,70.31,61.76,402.3,True,True,True,True,1,1.85,polymer_residue
90,Rev4,4,W004,AE-3200,CH-A,MID-02,Mid,0.52,90.0,73.53,69.57,67.83,424.4,True,True,True,True,2,5.16,polymer_residue
91,Rev4,4,W004,AE-3200,CH-A,MID-03,Mid,0.52,150.0,73.55,71.03,60.6,418.5,True,True,True,True,1,3.61,polymer_residue
92,Rev4,4,W004,AE-3200,CH-A,MID-04,Mid,0.52,210.0,74.15,69.95,60.44,454.0,True,True,True,False,0,0.0,
93,Rev4,4,W004,AE-3200,CH-A,MID-05,Mid,0.52,270.0,73.36,70.64,69.41,432.4,True,True,True,True,2,6.48,esc_temp_drift
94,Rev4,4,W004,AE-3200,CH-A,MID-06,Mid,0.52,330.0,75.46,67.66,60.23,418.4,False,True,True,True,1,2.35,
95,Rev4,4,W004,AE-3200,CH-A,EDG-01,Edge,0.84,0.0,77.9,72.28,70.45,413.5,False,True,True,True,0,0.0,
96,Rev4,4,W004,AE-3200,CH-A,EDG-02,Edge,0.84,32.7,74.17,72.29,63.68,455.0,True,True,True,False,0,0.0,
97,Rev4,4,W004,AE-3200,CH-A,EDG-03,Edge,0.84,65.5,76.65,69.26,64.74,417.5,False,True,True,True,1,3.68,polymer_residue
98,Rev4,4,W004,AE-3200,CH-A,EDG-04,Edge,0.84,98.2,75.01,71.48,65.87,459.3,True,True,True,False,0,0.0,
99,Rev4,4,W004,AE-3200,CH-A,EDG-05,Edge,0.84,130.9,71.45,69.63,67.9,437.5,True,True,True,True,0,0.0,
100,Rev4,4,W004,AE-3200,CH-A,EDG-06,Edge,0.84,163.6,76.0,70.91,67.35,430.2,False,True,True,True,1,5.89,
101,Rev4,4,W004,AE-3200,CH-A,EDG-07,Edge,0.84,196.4,73.77,73.59,65.86,454.3,True,False,True,False,0,0.0,
102,Rev4,4,W004,AE-3200,CH-A,EDG-08,Edge,0.84,229.1,75.56,69.16,66.57,444.9,False,True,True,True,0,0.0,
103,Rev4,4,W004,AE-3200,CH-A,EDG-09,Edge,0.84,261.8,75.49,71.3,69.71,415.9,False,True,True,True,1,6.45,
104,Rev4,4,W004,AE-3200,CH-A,EDG-10,Edge,0.84,294.5,76.74,74.59,71.15,431.4,False,False,False,True,1,3.88,arc_event
105,Rev4,4,W004,AE-3200,CH-A,EDG-11,Edge,0.84,327.3,76.55,71.84,66.12,430.2,False,True,True,True,0,0.0,
106,Rev4,4,W004,AE-3200,CH-A,EXT-01,Extreme Edge,0.96,16.4,74.82,72.11,71.35,482.6,True,True,False,False,1,3.08,polymer_residue
107,Rev4,4,W004,AE-3200,CH-A,EXT-02,Extreme Edge,0.96,49.1,77.36,73.79,67.61,431.9,False,False,True,True,0,0.0,
108,Rev4,4,W004,AE-3200,CH-A,EXT-03,Extreme Edge,0.96,81.8,77.99,74.03,67.04,457.2,False,False,True,False,0,0.0,
109,Rev4,4,W004,AE-3200,CH-A,EXT-04,Extreme Edge,0.96,114.5,76.71,72.15,65.26,403.0,False,True,True,True,0,0.0,
110,Rev4,4,W004,AE-3200,CH-A,EXT-05,Extreme Edge,0.96,147.3,76.58,69.53,69.89,462.1,False,True,True,False,0,0.0,
111,Rev4,4,W004,AE-3200,CH-A,EXT-06,Extreme Edge,0.96,180.0,79.0,74.52,65.09,479.7,False,False,True,False,0,0.0,
112,Rev4,4,W004,AE-3200,CH-A,EXT-07,Extreme Edge,0.96,212.7,73.89,71.9,66.77,454.8,True,True,True,False,3,12.28,
113,Rev4,4,W004,AE-3200,CH-A,EXT-08,Extreme Edge,0.96,245.5,74.76,72.48,71.91,432.2,True,True,False,True,2,5.38,polymer_residue
114,Rev4,4,W004,AE-3200,CH-A,EXT-09,Extreme Edge,0.96,278.2,77.03,72.07,64.06,457.0,False,True,True,False,1,2.48,polymer_residue
115,Rev4,4,W004,AE-3200,CH-A,EXT-10,Extreme Edge,0.96,310.9,76.64,74.77,66.85,444.1,False,False,True,True,1,2.34,polymer_residue
116,Rev4,4,W004,AE-3200,CH-A,EXT-11,Extreme Edge,0.96,343.6,75.74,71.07,61.99,444.3,False,True,True,True,0,0.0,
117,Rev5,5,W005,AE-3200,CH-B,C1,Center,0.0,0.0,69.53,66.85,68.36,459.2,True,True,True,False,0,0.0,
118,Rev5,5,W005,AE-3200,CH-B,MID-01,Mid,0.52,30.0,67.62,66.82,63.43,452.9,False,True,True,False,1,4.26,
119,Rev5,5,W005,AE-3200,CH-B,MID-02,Mid,0.52,90.0,70.64,69.2,66.86,434.8,True,True,True,True,0,0.0,
120,Rev5,5,W005,AE-3200,CH-B,MID-03,Mid,0.52,150.0,72.82,68.92,68.44,431.0,True,True,True,True,0,0.0,
121,Rev5,5,W005,AE-3200,CH-B,MID-04,Mid,0.52,210.0,71.48,69.66,63.65,468.1,True,True,True,False,0,0.0,
122,Rev5,5,W005,AE-3200,CH-B,MID-05,Mid,0.52,270.0,74.04,70.59,68.2,423.2,True,True,True,True,0,0.0,
123,Rev5,5,W005,AE-3200,CH-B,MID-06,Mid,0.52,330.0,69.15,65.94,67.1,464.9,True,True,True,False,0,0.0,
124,Rev5,5,W005,AE-3200,CH-B,EDG-01,Edge,0.84,0.0,73.3,68.41,65.77,472.7,True,True,True,False,0,0.0,
125,Rev5,5,W005,AE-3200,CH-B,EDG-02,Edge,0.84,32.7,71.29,73.25,65.7,419.9,True,False,True,True,0,0.0,
126,Rev5,5,W005,AE-3200,CH-B,EDG-03,Edge,0.84,65.5,72.91,68.86,66.28,436.0,True,True,True,True,0,0.0,
127,Rev5,5,W005,AE-3200,CH-B,EDG-04,Edge,0.84,98.2,72.39,67.28,69.08,443.0,True,True,True,True,0,0.0,
128,Rev5,5,W005,AE-3200,CH-B,EDG-05,Edge,0.84,130.9,73.18,66.64,69.83,439.1,True,True,True,True,1,2.26,polymer_residue
129,Rev5,5,W005,AE-3200,CH-B,EDG-06,Edge,0.84,163.6,74.1,71.77,66.35,457.3,True,True,True,False,2,10.88,
130,Rev5,5,W005,AE-3200,CH-B,EDG-07,Edge,0.84,196.4,71.12,73.46,64.74,436.6,True,False,True,True,0,0.0,
131,Rev5,5,W005,AE-3200,CH-B,EDG-08,Edge,0.84,229.1,74.42,67.17,63.89,466.1,True,True,True,False,0,0.0,
132,Rev5,5,W005,AE-3200,CH-B,EDG-09,Edge,0.84,261.8,73.72,69.38,67.46,427.7,True,True,True,True,1,4.83,pressure_spike
133,Rev5,5,W005,AE-3200,CH-B,EDG-10,Edge,0.84,294.5,74.34,72.75,72.07,456.0,True,True,False,False,1,3.34,
134,Rev5,5,W005,AE-3200,CH-B,EDG-11,Edge,0.84,327.3,71.95,71.44,67.88,458.6,True,True,True,False,0,0.0,
135,Rev5,5,W005,AE-3200,CH-B,EXT-01,Extreme Edge,0.96,16.4,73.34,67.24,72.58,434.4,True,True,False,True,0,0.0,
136,Rev5,5,W005,AE-3200,CH-B,EXT-02,Extreme Edge,0.96,49.1,70.07,69.18,64.72,450.4,True,True,True,True,1,2.59,polymer_residue
137,Rev5,5,W005,AE-3200,CH-B,EXT-03,Extreme Edge,0.96,81.8,72.85,70.57,71.49,449.5,True,True,False,True,0,0.0,
138,Rev5,5,W005,AE-3200,CH-B,EXT-04,Extreme Edge,0.96,114.5,73.47,69.32,70.56,451.4,True,True,True,True,0,0.0,
139,Rev5,5,W005,AE-3200,CH-B,EXT-05,Extreme Edge,0.96,147.3,74.25,72.77,66.54,462.2,True,True,True,False,1,2.36,
140,Rev5,5,W005,AE-3200,CH-B,EXT-06,Extreme Edge,0.96,180.0,74.79,67.01,70.67,465.5,True,True,False,False,0,0.0,
141,Rev5,5,W005,AE-3200,CH-B,EXT-07,Extreme Edge,0.96,212.7,74.72,72.22,71.0,473.4,True,True,False,False,1,4.54,pressure_spike
142,Rev5,5,W005,AE-3200,CH-B,EXT-08,Extreme Edge,0.96,245.5,75.18,70.43,73.74,502.3,True,True,False,False,0,0.0,
143,Rev5,5,W005,AE-3200,CH-B,EXT-09,Extreme Edge,0.96,278.2,73.41,69.22,69.69,468.8,True,True,True,False,1,6.46,pressure_spike
144,Rev5,5,W005,AE-3200,CH-B,EXT-10,Extreme Edge,0.96,310.9,71.23,67.82,68.93,492.6,True,True,True,False,0,0.0,
145,Rev5,5,W005,AE-3200,CH-B,EXT-11,Extreme Edge,0.96,343.6,74.61,70.4,64.9,457.1,True,True,True,False,0,0.0,
146,Rev4,4,W006,AE-3200,CH-A,C1,Center,0.0,0.0,73.7,70.6,69.9,439.7,True,True,True,True,1,6.08,
147,Rev4,4,W006,AE-3200,CH-A,MID-01,Mid,0.52,30.0,75.86,73.49,68.97,454.3,False,False,True,False,0,0.0,
148,Rev4,4,W006,AE-3200,CH-A,MID-02,Mid,0.52,90.0,73.71,72.18,68.8,430.0,True,True,True,True,0,0.0,
149,Rev4,4,W006,AE-3200,CH-A,MID-03,Mid,0.52,150.0,72.31,69.08,66.93,370.9,True,True,True,False,0,0.0,
150,Rev4,4,W006,AE-3200,CH-A,MID-04,Mid,0.52,210.0,73.66,69.2,68.6,395.4,True,True,True,True,0,0.0,
151,Rev4,4,W006,AE-3200,CH-A,MID-05,Mid,0.52,270.0,76.44,68.59,68.58,434.7,False,True,True,True,0,0.0,
152,Rev4,4,W006,AE-3200,CH-A,MID-06,Mid,0.52,330.0,74.66,68.79,65.95,426.7,True,True,True,True,0,0.0,
153,Rev4,4,W006,AE-3200,CH-A,EDG-01,Edge,0.84,0.0,73.96,68.82,68.1,416.0,True,True,True,True,1,2.06,arc_event
154,Rev4,4,W006,AE-3200,CH-A,EDG-02,Edge,0.84,32.7,73.98,73.31,68.85,399.6,True,False,True,True,0,0.0,
155,Rev4,4,W006,AE-3200,CH-A,EDG-03,Edge,0.84,65.5,75.88,69.41,69.26,444.8,False,True,True,True,0,0.0,
156,Rev4,4,W006,AE-3200,CH-A,EDG-04,Edge,0.84,98.2,75.38,70.45,66.63,452.0,False,True,True,False,1,2.64,esc_temp_drift
157,Rev4,4,W006,AE-3200,CH-A,EDG-05,Edge,0.84,130.9,78.11,68.61,67.47,475.7,False,True,True,False,1,5.35,endpoint_late
158,Rev4,4,W006,AE-3200,CH-A,EDG-06,Edge,0.84,163.6,74.97,69.88,74.16,405.5,True,True,False,True,0,0.0,
159,Rev4,4,W006,AE-3200,CH-A,EDG-07,Edge,0.84,196.4,75.13,70.44,75.66,464.0,True,True,False,False,2,4.29,
160,Rev4,4,W006,AE-3200,CH-A,EDG-08,Edge,0.84,229.1,73.44,70.85,69.2,439.5,True,True,True,True,1,1.91,polymer_residue
161,Rev4,4,W006,AE-3200,CH-A,EDG-09,Edge,0.84,261.8,74.63,73.12,68.92,432.4,True,False,True,True,1,3.36,endpoint_late
162,Rev4,4,W006,AE-3200,CH-A,EDG-10,Edge,0.84,294.5,75.98,70.13,64.16,445.4,False,True,True,True,0,0.0,
163,Rev4,4,W006,AE-3200,CH-A,EDG-11,Edge,0.84,327.3,75.27,69.99,68.13,476.6,False,True,True,False,0,0.0,
164,Rev4,4,W006,AE-3200,CH-A,EXT-01,Extreme Edge,0.96,16.4,78.3,72.42,70.57,452.8,False,True,True,False,0,0.0,
165,Rev4,4,W006,AE-3200,CH-A,EXT-02,Extreme Edge,0.96,49.1,76.01,72.69,67.75,446.7,False,True,True,True,0,0.0,
166,Rev4,4,W006,AE-3200,CH-A,EXT-03,Extreme Edge,0.96,81.8,74.93,70.44,73.51,479.7,True,True,False,False,0,0.0,
167,Rev4,4,W006,AE-3200,CH-A,EXT-04,Extreme Edge,0.96,114.5,75.74,73.39,64.7,444.4,False,False,True,True,2,8.1,
168,Rev4,4,W006,AE-3200,CH-A,EXT-05,Extreme Edge,0.96,147.3,76.19,71.56,67.9,429.5,False,True,True,True,0,0.0,
169,Rev4,4,W006,AE-3200,CH-A,EXT-06,Extreme Edge,0.96,180.0,75.16,70.43,73.38,419.9,True,True,False,True,0,0.0,
170,Rev4,4,W006,AE-3200,CH-A,EXT-07,Extreme Edge,0.96,212.7,74.94,71.71,75.11,474.7,True,True,False,False,3,10.46,
171,Rev4,4,W006,AE-3200,CH-A,EXT-08,Extreme Edge,0.96,245.5,76.36,71.71,70.08,455.6,False,True,True,False,1,5.85,polymer_residue
172,Rev4,4,W006,AE-3200,CH-A,EXT-09,Extreme Edge,0.96,278.2,73.92,73.32,70.37,427.4,True,False,True,True,2,9.59,
173,Rev4,4,W006,AE-3200,CH-A,EXT-10,Extreme Edge,0.96,310.9,75.2,68.34,70.8,482.7,False,True,False,False,0,0.0,
174,Rev4,4,W006,AE-3200,CH-A,EXT-11,Extreme Edge,0.96,343.6,76.88,70.02,71.76,460.9,False,True,False,False,1,5.65,polymer_residue
175,Rev1,1,W007,AE-3200,CH-B,C1,Center,0.0,0.0,71.38,68.54,69.29,446.3,True,True,True,True,0,0.0,
176,Rev1,1,W007,AE-3200,CH-B,MID-01,Mid,0.52,30.0,74.43,69.66,67.45,404.6,True,True,True,True,0,0.0,
177,Rev1,1,W007,AE-3200,CH-B,MID-02,Mid,0.52,90.0,73.44,71.66,70.68,470.7,True,True,False,False,0,0.0,
178,Rev1,1,W007,AE-3200,CH-B,MID-03,Mid,0.52,150.0,73.13,67.78,68.16,421.6,True,True,True,True,0,0.0,
179,Rev1,1,W007,AE-3200,CH-B,MID-04,Mid,0.52,210.0,72.41,67.55,68.09,452.9,True,True,True,False,1,4.67,arc_event
180,Rev1,1,W007,AE-3200,CH-B,MID-05,Mid,0.52,270.0,75.57,70.3,71.79,420.2,False,True,False,True,0,0.0,
181,Rev1,1,W007,AE-3200,CH-B,MID-06,Mid,0.52,330.0,73.55,70.09,72.93,437.3,True,True,False,True,0,0.0,
182,Rev1,1,W007,AE-3200,CH-B,EDG-01,Edge,0.84,0.0,74.72,69.76,67.87,406.8,True,True,True,True,0,0.0,
183,Rev1,1,W007,AE-3200,CH-B,EDG-02,Edge,0.84,32.7,71.59,69.82,71.39,433.5,True,True,False,True,0,0.0,
