Sample_No,Recipe_Version,Rev_No,Wafer_ID,Tool_ID,Chamber_ID,Site_ID,Zone,Radius_frac,Angle_deg,Top_CD_nm,Mid_CD_nm,Bottom_CD_nm,Depth_nm,Top_CD_Pass,Mid_CD_Pass,Bottom_CD_Pass,Depth_Pass,Defect_Count,Defect_Severity,Anomaly_Event
132,Rev4,4,W005,AE-3200,CH-A,EDG-09,Edge,0.84,261.8,2189.57,2115.72,2035.79,2941.1,True,True,True,False,0,0.0,
133,Rev4,4,W005,AE-3200,CH-A,EDG-10,Edge,0.84,294.5,2184.93,2149.38,2087.14,3268.9,True,True,True,True,0,0.0,
134,Rev4,4,W005,AE-3200,CH-A,EDG-11,Edge,0.84,327.3,2208.77,2182.77,2154.58,3445.9,True,True,True,True,0,0.0,
135,Rev4,4,W005,AE-3200,CH-A,EXT-01,Extreme Edge,0.96,16.4,2186.85,2184.03,2130.31,3369.2,True,True,True,True,0,0.0,
136,Rev4,4,W005,AE-3200,CH-A,EXT-02,Extreme Edge,0.96,49.1,2186.12,2180.72,2077.57,3261.5,True,True,True,True,0,0.0,
137,Rev4,4,W005,AE-3200,CH-A,EXT-03,Extreme Edge,0.96,81.8,2203.6,2187.58,2040.9,3343.3,True,True,True,True,1,4.32,polymer_residue
138,Rev4,4,W005,AE-3200,CH-A,EXT-04,Extreme Edge,0.96,114.5,2226.65,2164.04,2096.26,3202.0,False,True,True,True,0,0.0,
139,Rev4,4,W005,AE-3200,CH-A,EXT-05,Extreme Edge,0.96,147.3,2165.85,2128.91,2077.91,3390.5,True,True,True,True,1,2.62,
140,Rev4,4,W005,AE-3200,CH-A,EXT-06,Extreme Edge,0.96,180.0,2213.18,2178.29,2058.06,3409.1,True,True,True,True,0,0.0,
141,Rev4,4,W005,AE-3200,CH-A,EXT-07,Extreme Edge,0.96,212.7,2196.38,2100.48,2113.37,3435.7,True,True,True,True,1,5.3,
142,Rev4,4,W005,AE-3200,CH-A,EXT-08,Extreme Edge,0.96,245.5,2217.93,2174.46,2105.51,3248.8,True,True,True,True,0,0.0,
143,Rev4,4,W005,AE-3200,CH-A,EXT-09,Extreme Edge,0.96,278.2,2151.66,2122.45,2150.66,3180.3,True,True,True,True,1,5.51,
144,Rev4,4,W005,AE-3200,CH-A,EXT-10,Extreme Edge,0.96,310.9,2185.15,2122.05,2105.34,3429.5,True,True,True,True,1,2.08,esc_temp_drift
145,Rev4,4,W005,AE-3200,CH-A,EXT-11,Extreme Edge,0.96,343.6,2136.34,2174.32,2039.3,3306.7,True,True,True,True,0,0.0,
146,Rev10,10,W006,PX-7500,CH-C,C1,Center,0.0,0.0,2178.23,2113.25,2067.84,3552.7,True,True,True,False,0,0.0,
147,Rev10,10,W006,PX-7500,CH-C,MID-01,Mid,0.52,30.0,2123.43,2089.56,2079.68,3247.3,True,True,True,True,0,0.0,
148,Rev10,10,W006,PX-7500,CH-C,MID-02,Mid,0.52,90.0,2117.56,2144.36,2023.8,3335.0,True,True,True,True,0,0.0,
149,Rev10,10,W006,PX-7500,CH-C,MID-03,Mid,0.52,150.0,2135.48,2113.97,2028.15,3295.0,True,True,True,True,0,0.0,
150,Rev10,10,W006,PX-7500,CH-C,MID-04,Mid,0.52,210.0,2145.48,2152.99,2006.13,3414.3,True,True,True,True,1,3.33,
151,Rev10,10,W006,PX-7500,CH-C,MID-05,Mid,0.52,270.0,2099.79,2188.54,2091.18,3350.0,True,True,True,True,1,5.79,polymer_residue
152,Rev10,10,W006,PX-7500,CH-C,MID-06,Mid,0.52,330.0,2175.44,2158.31,1920.53,3254.2,True,True,True,True,0,0.0,
153,Rev10,10,W006,PX-7500,CH-C,EDG-01,Edge,0.84,0.0,2159.84,2133.99,2080.26,3499.2,True,True,True,True,0,0.0,
154,Rev10,10,W006,PX-7500,CH-C,EDG-02,Edge,0.84,32.7,2176.57,2199.75,2139.57,3429.8,True,False,True,True,0,0.0,
155,Rev10,10,W006,PX-7500,CH-C,EDG-03,Edge,0.84,65.5,2192.03,2165.97,2136.59,3630.5,True,True,True,False,1,5.76,arc_event
156,Rev10,10,W006,PX-7500,CH-C,EDG-04,Edge,0.84,98.2,2213.5,2142.53,2115.67,3500.1,True,True,True,False,1,3.54,
157,Rev10,10,W006,PX-7500,CH-C,EDG-05,Edge,0.84,130.9,2184.08,2202.43,2038.68,3505.9,True,False,True,False,0,0.0,
158,Rev10,10,W006,PX-7500,CH-C,EDG-06,Edge,0.84,163.6,2133.94,2118.29,2038.82,3280.6,True,True,True,True,0,0.0,
159,Rev10,10,W006,PX-7500,CH-C,EDG-07,Edge,0.84,196.4,2183.15,2184.32,2072.27,3342.5,True,True,True,True,1,2.33,
160,Rev10,10,W006,PX-7500,CH-C,EDG-08,Edge,0.84,229.1,2174.36,2193.3,2113.39,3475.4,True,True,True,True,0,0.0,
161,Rev10,10,W006,PX-7500,CH-C,EDG-09,Edge,0.84,261.8,2199.34,2175.36,2070.6,3450.8,True,True,True,True,0,0.0,
162,Rev10,10,W006,PX-7500,CH-C,EDG-10,Edge,0.84,294.5,2154.12,2201.37,2066.76,3243.2,True,False,True,True,0,0.0,
163,Rev10,10,W006,PX-7500,CH-C,EDG-11,Edge,0.84,327.3,2176.85,2172.69,2172.45,3327.3,True,True,False,True,0,0.0,
164,Rev10,10,W006,PX-7500,CH-C,EXT-01,Extreme Edge,0.96,16.4,2264.94,2152.78,2043.7,3454.9,False,True,True,True,1,2.91,
165,Rev10,10,W006,PX-7500,CH-C,EXT-02,Extreme Edge,0.96,49.1,2223.53,2199.39,2062.35,3154.9,True,False,True,True,0,0.0,
166,Rev10,10,W006,PX-7500,CH-C,EXT-03,Extreme Edge,0.96,81.8,2163.6,2133.53,2061.38,3270.0,True,True,True,True,0,0.0,
167,Rev10,10,W006,PX-7500,CH-C,EXT-04,Extreme Edge,0.96,114.5,2202.93,2150.21,2079.57,3372.1,True,True,True,True,0,0.0,
168,Rev10,10,W006,PX-7500,CH-C,EXT-05,Extreme Edge,0.96,147.3,2168.08,2173.91,1973.38,3250.4,True,True,True,True,0,0.0,
169,Rev10,10,W006,PX-7500,CH-C,EXT-06,Extreme Edge,0.96,180.0,2191.37,2163.54,1994.97,3446.9,True,True,True,True,0,0.0,
170,Rev10,10,W006,PX-7500,CH-C,EXT-07,Extreme Edge,0.96,212.7,2198.41,2165.72,2037.95,3562.5,True,True,True,False,0,0.0,
171,Rev10,10,W006,PX-7500,CH-C,EXT-08,Extreme Edge,0.96,245.5,2181.42,2187.49,2011.19,3520.1,True,True,True,False,0,0.0,
172,Rev10,10,W006,PX-7500,CH-C,EXT-09,Extreme Edge,0.96,278.2,2208.24,2225.51,2007.41,3339.4,True,False,True,True,0,0.0,
173,Rev10,10,W006,PX-7500,CH-C,EXT-10,Extreme Edge,0.96,310.9,2183.65,2244.51,2074.42,3370.6,True,False,True,True,1,3.63,
174,Rev10,10,W006,PX-7500,CH-C,EXT-11,Extreme Edge,0.96,343.6,2197.06,2103.11,2080.46,3333.0,True,True,True,True,0,0.0,
175,Rev4,4,W007,AE-3200,CH-A,C1,Center,0.0,0.0,2134.45,2045.79,2000.39,3091.4,True,True,True,True,0,0.0,
