Sample_No,Recipe_Version,Rev_No,Wafer_ID,Tool_ID,Chamber_ID,Site_ID,Zone,Radius_frac,Angle_deg,Top_CD_nm,Mid_CD_nm,Bottom_CD_nm,Depth_A,Top_CD_Pass,Mid_CD_Pass,Bottom_CD_Pass,Depth_Pass,Defect_Count,Defect_Severity,Anomaly_Event
63,Rev11,11,W003,PX-7500,CH-D,MID-04,Mid,0.52,210.0,39.43,41.13,36.1,1777.1,True,True,True,False,1,2.45,
64,Rev11,11,W003,PX-7500,CH-D,MID-05,Mid,0.52,270.0,39.54,39.9,39.21,1782.0,True,True,True,False,0,0.0,
65,Rev11,11,W003,PX-7500,CH-D,MID-06,Mid,0.52,330.0,38.5,39.73,38.37,1743.6,True,True,True,True,0,0.0,
66,Rev11,11,W003,PX-7500,CH-D,EDG-01,Edge,0.84,0.0,41.87,40.61,36.06,1704.9,False,True,True,True,1,3.68,
67,Rev11,11,W003,PX-7500,CH-D,EDG-02,Edge,0.84,32.7,40.54,41.17,39.18,1826.3,False,True,True,False,1,1.87,
68,Rev11,11,W003,PX-7500,CH-D,EDG-03,Edge,0.84,65.5,40.73,40.55,36.74,1766.9,False,True,True,False,0,0.0,
69,Rev11,11,W003,PX-7500,CH-D,EDG-04,Edge,0.84,98.2,40.73,40.57,39.16,1702.7,False,True,True,True,0,0.0,
70,Rev11,11,W003,PX-7500,CH-D,EDG-05,Edge,0.84,130.9,41.37,41.23,38.17,1727.1,False,True,True,True,0,0.0,
71,Rev11,11,W003,PX-7500,CH-D,EDG-06,Edge,0.84,163.6,40.64,41.44,38.76,1766.7,False,True,True,False,1,3.41,
72,Rev11,11,W003,PX-7500,CH-D,EDG-07,Edge,0.84,196.4,39.02,40.55,37.76,1870.5,True,True,True,False,0,0.0,
73,Rev11,11,W003,PX-7500,CH-D,EDG-08,Edge,0.84,229.1,40.09,41.59,38.47,1804.5,True,True,True,False,0,0.0,
74,Rev11,11,W003,PX-7500,CH-D,EDG-09,Edge,0.84,261.8,40.61,40.81,37.07,1720.7,False,True,True,True,0,0.0,
75,Rev11,11,W003,PX-7500,CH-D,EDG-10,Edge,0.84,294.5,39.33,40.14,39.61,1801.8,True,True,True,False,1,3.24,
76,Rev11,11,W003,PX-7500,CH-D,EDG-11,Edge,0.84,327.3,40.75,40.67,36.64,1747.6,False,True,True,True,0,0.0,
77,Rev11,11,W003,PX-7500,CH-D,EXT-01,Extreme Edge,0.96,16.4,41.56,41.65,35.82,1831.3,False,True,True,False,0,0.0,
78,Rev11,11,W003,PX-7500,CH-D,EXT-02,Extreme Edge,0.96,49.1,40.51,41.27,39.13,1790.7,False,True,True,False,2,3.97,
79,Rev11,11,W003,PX-7500,CH-D,EXT-03,Extreme Edge,0.96,81.8,39.77,40.88,38.61,1715.4,True,True,True,True,1,5.93,
80,Rev11,11,W003,PX-7500,CH-D,EXT-04,Extreme Edge,0.96,114.5,41.55,41.41,40.2,1746.2,False,True,True,True,0,0.0,
81,Rev11,11,W003,PX-7500,CH-D,EXT-05,Extreme Edge,0.96,147.3,40.88,41.61,39.82,1821.8,False,True,True,False,2,10.08,
82,Rev11,11,W003,PX-7500,CH-D,EXT-06,Extreme Edge,0.96,180.0,40.38,38.93,38.86,1798.7,True,True,True,False,1,1.83,polymer_residue
83,Rev11,11,W003,PX-7500,CH-D,EXT-07,Extreme Edge,0.96,212.7,40.21,41.9,37.59,1799.6,True,True,True,False,0,0.0,
84,Rev11,11,W003,PX-7500,CH-D,EXT-08,Extreme Edge,0.96,245.5,40.95,41.25,39.36,1836.2,False,True,True,False,0,0.0,
85,Rev11,11,W003,PX-7500,CH-D,EXT-09,Extreme Edge,0.96,278.2,40.03,41.3,36.99,1731.4,True,True,True,True,0,0.0,
86,Rev11,11,W003,PX-7500,CH-D,EXT-10,Extreme Edge,0.96,310.9,40.2,40.26,36.89,1820.9,True,True,True,False,1,2.37,
87,Rev11,11,W003,PX-7500,CH-D,EXT-11,Extreme Edge,0.96,343.6,42.6,41.16,37.35,1784.4,False,True,True,False,1,2.46,polymer_residue
88,Rev6,6,W004,PX-7500,CH-C,C1,Center,0.0,0.0,35.89,38.96,35.91,1574.9,False,True,True,False,0,0.0,
89,Rev6,6,W004,PX-7500,CH-C,MID-01,Mid,0.52,30.0,38.62,39.22,36.75,1675.3,True,True,True,True,0,0.0,
90,Rev6,6,W004,PX-7500,CH-C,MID-02,Mid,0.52,90.0,37.05,40.18,33.53,1637.0,True,True,False,True,0,0.0,
91,Rev6,6,W004,PX-7500,CH-C,MID-03,Mid,0.52,150.0,37.0,40.23,31.66,1665.5,True,True,False,True,0,0.0,
92,Rev6,6,W004,PX-7500,CH-C,MID-04,Mid,0.52,210.0,37.37,39.11,34.78,1636.8,True,True,True,True,0,0.0,
93,Rev6,6,W004,PX-7500,CH-C,MID-05,Mid,0.52,270.0,37.38,39.2,32.48,1604.8,True,True,False,True,0,0.0,
94,Rev6,6,W004,PX-7500,CH-C,MID-06,Mid,0.52,330.0,37.11,40.22,36.89,1624.5,True,True,True,True,0,0.0,
95,Rev6,6,W004,PX-7500,CH-C,EDG-01,Edge,0.84,0.0,37.76,40.05,38.63,1707.0,True,True,True,True,0,0.0,
96,Rev6,6,W004,PX-7500,CH-C,EDG-02,Edge,0.84,32.7,39.37,41.19,36.53,1715.5,True,True,True,True,0,0.0,
97,Rev6,6,W004,PX-7500,CH-C,EDG-03,Edge,0.84,65.5,39.36,41.01,35.29,1724.8,True,True,True,True,1,5.42,polymer_residue
98,Rev6,6,W004,PX-7500,CH-C,EDG-04,Edge,0.84,98.2,37.7,39.8,35.43,1704.9,True,True,True,True,0,0.0,
99,Rev6,6,W004,PX-7500,CH-C,EDG-05,Edge,0.84,130.9,37.82,40.01,34.74,1666.3,True,True,True,True,0,0.0,
100,Rev6,6,W004,PX-7500,CH-C,EDG-06,Edge,0.84,163.6,38.39,39.31,36.51,1648.1,True,True,True,True,1,2.74,
101,Rev6,6,W004,PX-7500,CH-C,EDG-07,Edge,0.84,196.4,38.03,39.3,37.18,1583.4,True,True,True,True,1,5.74,
102,Rev6,6,W004,PX-7500,CH-C,EDG-08,Edge,0.84,229.1,38.93,40.01,37.53,1705.7,True,True,True,True,0,0.0,
103,Rev6,6,W004,PX-7500,CH-C,EDG-09,Edge,0.84,261.8,39.15,39.76,36.31,1727.0,True,True,True,True,1,4.55,
104,Rev6,6,W004,PX-7500,CH-C,EDG-10,Edge,0.84,294.5,38.93,38.67,32.76,1714.8,True,True,False,True,0,0.0,
105,Rev6,6,W004,PX-7500,CH-C,EDG-11,Edge,0.84,327.3,38.23,40.46,33.54,1696.6,True,True,False,True,1,2.3,polymer_residue
106,Rev6,6,W004,PX-7500,CH-C,EXT-01,Extreme Edge,0.96,16.4,38.57,40.54,33.78,1676.4,True,True,False,True,0,0.0,
107,Rev6,6,W004,PX-7500,CH-C,EXT-02,Extreme Edge,0.96,49.1,40.08,40.8,35.49,1726.8,True,True,True,True,0,0.0,
108,Rev6,6,W004,PX-7500,CH-C,EXT-03,Extreme Edge,0.96,81.8,38.04,42.64,37.45,1621.2,True,False,True,True,1,4.48,
109,Rev6,6,W004,PX-7500,CH-C,EXT-04,Extreme Edge,0.96,114.5,38.77,40.01,33.71,1737.6,True,True,False,True,0,0.0,
110,Rev6,6,W004,PX-7500,CH-C,EXT-05,Extreme Edge,0.96,147.3,39.22,40.14,35.66,1717.9,True,True,True,True,0,0.0,
111,Rev6,6,W004,PX-7500,CH-C,EXT-06,Extreme Edge,0.96,180.0,39.97,41.59,37.95,1787.2,True,True,True,False,0,0.0,
112,Rev6,6,W004,PX-7500,CH-C,EXT-07,Extreme Edge,0.96,212.7,38.83,39.27,37.6,1693.6,True,True,True,True,0,0.0,
113,Rev6,6,W004,PX-7500,CH-C,EXT-08,Extreme Edge,0.96,245.5,39.08,40.38,37.02,1650.4,True,True,True,True,1,4.46,endpoint_late
114,Rev6,6,W004,PX-7500,CH-C,EXT-09,Extreme Edge,0.96,278.2,38.96,40.48,36.26,1715.6,True,True,True,True,0,0.0,
115,Rev6,6,W004,PX-7500,CH-C,EXT-10,Extreme Edge,0.96,310.9,39.28,40.68,37.34,1742.8,True,True,True,True,2,8.18,
116,Rev6,6,W004,PX-7500,CH-C,EXT-11,Extreme Edge,0.96,343.6,40.14,40.96,35.21,1683.8,True,True,True,True,1,6.22,
117,Rev4,4,W005,AE-3200,CH-A,C1,Center,0.0,0.0,38.28,39.58,36.45,1636.7,True,True,True,True,0,0.0,
118,Rev4,4,W005,AE-3200,CH-A,MID-01,Mid,0.52,30.0,40.45,41.26,37.32,1653.2,False,True,True,True,1,4.08,pressure_spike
119,Rev4,4,W005,AE-3200,CH-A,MID-02,Mid,0.52,90.0,39.44,39.13,36.42,1750.2,True,True,True,True,0,0.0,
120,Rev4,4,W005,AE-3200,CH-A,MID-03,Mid,0.52,150.0,39.01,40.58,37.16,1669.0,True,True,True,True,0,0.0,
121,Rev4,4,W005,AE-3200,CH-A,MID-04,Mid,0.52,210.0,40.2,41.12,37.82,1720.3,True,True,True,True,1,4.33,
122,Rev4,4,W005,AE-3200,CH-A,MID-05,Mid,0.52,270.0,39.42,39.7,36.25,1607.5,True,True,True,True,0,0.0,
123,Rev4,4,W005,AE-3200,CH-A,MID-06,Mid,0.52,330.0,39.55,40.82,38.94,1623.6,True,True,True,True,0,0.0,
124,Rev4,4,W005,AE-3200,CH-A,EDG-01,Edge,0.84,0.0,41.51,40.09,38.58,1613.1,False,True,True,True,0,0.0,
125,Rev4,4,W005,AE-3200,CH-A,EDG-02,Edge,0.84,32.7,40.09,39.51,36.63,1651.3,True,True,True,True,1,6.46,polymer_residue
126,Rev4,4,W005,AE-3200,CH-A,EDG-03,Edge,0.84,65.5,39.73,41.57,40.42,1661.9,True,True,False,True,0,0.0,
127,Rev4,4,W005,AE-3200,CH-A,EDG-04,Edge,0.84,98.2,41.05,41.66,36.44,1652.8,False,True,True,True,0,0.0,
128,Rev4,4,W005,AE-3200,CH-A,EDG-05,Edge,0.84,130.9,40.81,40.79,40.89,1679.9,False,True,False,True,0,0.0,
129,Rev4,4,W005,AE-3200,CH-A,EDG-06,Edge,0.84,163.6,41.46,40.47,39.77,1634.7,False,True,True,True,1,2.1,pressure_spike
130,Rev4,4,W005,AE-3200,CH-A,EDG-07,Edge,0.84,196.4,40.45,41.48,37.3,1672.9,False,True,True,True,0,0.0,
131,Rev4,4,W005,AE-3200,CH-A,EDG-08,Edge,0.84,229.1,41.7,43.18,40.33,1731.2,False,False,True,True,0,0.0,
132,Rev4,4,W005,AE-3200,CH-A,EDG-09,Edge,0.84,261.8,40.27,41.92,36.73,1578.8,True,True,True,False,0,0.0,
133,Rev4,4,W005,AE-3200,CH-A,EDG-10,Edge,0.84,294.5,40.14,42.19,37.46,1666.8,True,False,True,True,3,9.42,polymer_residue
134,Rev4,4,W005,AE-3200,CH-A,EDG-11,Edge,0.84,327.3,39.67,41.01,39.28,1736.8,True,True,True,True,0,0.0,
135,Rev4,4,W005,AE-3200,CH-A,EXT-01,Extreme Edge,0.96,16.4,41.35,42.5,37.73,1758.4,False,False,True,True,1,3.93,endpoint_late
136,Rev4,4,W005,AE-3200,CH-A,EXT-02,Extreme Edge,0.96,49.1,41.09,40.51,35.55,1697.1,False,True,True,True,1,1.92,
137,Rev4,4,W005,AE-3200,CH-A,EXT-03,Extreme Edge,0.96,81.8,42.48,41.49,39.04,1686.9,False,True,True,True,1,3.82,polymer_residue
138,Rev4,4,W005,AE-3200,CH-A,EXT-04,Extreme Edge,0.96,114.5,40.42,42.32,37.06,1735.0,False,False,True,True,1,4.72,esc_temp_drift
139,Rev4,4,W005,AE-3200,CH-A,EXT-05,Extreme Edge,0.96,147.3,40.68,41.79,37.7,1733.4,False,True,True,True,0,0.0,
140,Rev4,4,W005,AE-3200,CH-A,EXT-06,Extreme Edge,0.96,180.0,41.34,41.89,37.11,1701.4,False,True,True,True,3,9.51,polymer_residue
141,Rev4,4,W005,AE-3200,CH-A,EXT-07,Extreme Edge,0.96,212.7,42.18,42.15,37.62,1614.1,False,False,True,True,0,0.0,
142,Rev4,4,W005,AE-3200,CH-A,EXT-08,Extreme Edge,0.96,245.5,41.74,42.08,40.78,1732.4,False,False,False,True,1,3.9,
143,Rev4,4,W005,AE-3200,CH-A,EXT-09,Extreme Edge,0.96,278.2,41.0,41.25,40.87,1787.5,False,True,False,False,0,0.0,
144,Rev4,4,W005,AE-3200,CH-A,EXT-10,Extreme Edge,0.96,310.9,41.82,42.31,38.93,1705.6,False,False,True,True,1,3.81,polymer_residue
145,Rev4,4,W005,AE-3200,CH-A,EXT-11,Extreme Edge,0.96,343.6,41.03,42.49,35.79,1768.6,False,False,True,False,1,4.53,polymer_residue
146,Rev3,3,W006,PX-7500,CH-D,C1,Center,0.0,0.0,38.6,40.78,39.32,1595.1,True,True,True,True,0,0.0,
147,Rev3,3,W006,PX-7500,CH-D,MID-01,Mid,0.52,30.0,40.18,39.29,37.57,1597.6,True,True,True,True,0,0.0,
148,Rev3,3,W006,PX-7500,CH-D,MID-02,Mid,0.52,90.0,39.19,41.23,38.48,1680.3,True,True,True,True,0,0.0,
149,Rev3,3,W006,PX-7500,CH-D,MID-03,Mid,0.52,150.0,37.82,41.12,34.95,1628.2,True,True,True,True,0,0.0,
150,Rev3,3,W006,PX-7500,CH-D,MID-04,Mid,0.52,210.0,39.78,42.09,37.89,1594.0,True,False,True,True,0,0.0,
151,Rev3,3,W006,PX-7500,CH-D,MID-05,Mid,0.52,270.0,39.32,42.26,33.94,1600.7,True,False,False,True,1,2.92,
152,Rev3,3,W006,PX-7500,CH-D,MID-06,Mid,0.52,330.0,40.29,41.37,34.46,1615.2,True,True,True,True,0,0.0,
153,Rev3,3,W006,PX-7500,CH-D,EDG-01,Edge,0.84,0.0,40.08,42.28,36.11,1609.9,True,False,True,True,1,5.03,
154,Rev3,3,W006,PX-7500,CH-D,EDG-02,Edge,0.84,32.7,40.56,42.95,37.75,1673.3,False,False,True,True,0,0.0,
155,Rev3,3,W006,PX-7500,CH-D,EDG-03,Edge,0.84,65.5,40.61,43.98,35.09,1507.9,False,False,True,False,0,0.0,
156,Rev3,3,W006,PX-7500,CH-D,EDG-04,Edge,0.84,98.2,40.46,41.89,36.88,1585.6,False,True,True,True,1,4.67,polymer_residue
157,Rev3,3,W006,PX-7500,CH-D,EDG-05,Edge,0.84,130.9,40.06,42.15,36.8,1728.0,True,False,True,True,2,6.68,polymer_residue
158,Rev3,3,W006,PX-7500,CH-D,EDG-06,Edge,0.84,163.6,40.75,42.25,35.65,1594.3,False,False,True,True,0,0.0,
159,Rev3,3,W006,PX-7500,CH-D,EDG-07,Edge,0.84,196.4,40.16,42.6,39.75,1612.4,True,False,True,True,0,0.0,
160,Rev3,3,W006,PX-7500,CH-D,EDG-08,Edge,0.84,229.1,40.93,41.9,38.32,1652.3,False,True,True,True,0,0.0,
161,Rev3,3,W006,PX-7500,CH-D,EDG-09,Edge,0.84,261.8,41.55,42.31,35.18,1541.2,False,False,True,False,0,0.0,
162,Rev3,3,W006,PX-7500,CH-D,EDG-10,Edge,0.84,294.5,39.89,41.27,37.27,1592.5,True,True,True,True,0,0.0,
163,Rev3,3,W006,PX-7500,CH-D,EDG-11,Edge,0.84,327.3,41.3,41.33,37.67,1626.4,False,True,True,True,0,0.0,
164,Rev3,3,W006,PX-7500,CH-D,EXT-01,Extreme Edge,0.96,16.4,41.26,42.63,37.93,1649.9,False,False,True,True,0,0.0,
165,Rev3,3,W006,PX-7500,CH-D,EXT-02,Extreme Edge,0.96,49.1,40.86,42.77,38.93,1590.2,False,False,True,True,0,0.0,
166,Rev3,3,W006,PX-7500,CH-D,EXT-03,Extreme Edge,0.96,81.8,39.31,41.48,40.59,1714.8,True,True,False,True,0,0.0,
167,Rev3,3,W006,PX-7500,CH-D,EXT-04,Extreme Edge,0.96,114.5,41.39,42.56,37.53,1681.8,False,False,True,True,1,5.93,
168,Rev3,3,W006,PX-7500,CH-D,EXT-05,Extreme Edge,0.96,147.3,41.2,42.99,34.87,1638.1,False,False,True,True,1,3.51,
169,Rev3,3,W006,PX-7500,CH-D,EXT-06,Extreme Edge,0.96,180.0,39.65,43.57,37.38,1678.3,True,False,True,True,0,0.0,
170,Rev3,3,W006,PX-7500,CH-D,EXT-07,Extreme Edge,0.96,212.7,41.7,43.72,38.89,1671.7,False,False,True,True,0,0.0,
171,Rev3,3,W006,PX-7500,CH-D,EXT-08,Extreme Edge,0.96,245.5,41.08,43.25,36.0,1656.5,False,False,True,True,1,4.88,
172,Rev3,3,W006,PX-7500,CH-D,EXT-09,Extreme Edge,0.96,278.2,40.85,41.92,35.73,1673.1,False,True,True,True,1,6.17,polymer_residue
173,Rev3,3,W006,PX-7500,CH-D,EXT-10,Extreme Edge,0.96,310.9,41.14,42.79,35.15,1695.6,False,False,True,True,1,2.17,arc_event
174,Rev3,3,W006,PX-7500,CH-D,EXT-11,Extreme Edge,0.96,343.6,40.78,41.77,36.39,1606.2,False,True,True,True,2,8.86,
175,Rev10,10,W007,PX-7500,CH-C,C1,Center,0.0,0.0,37.9,37.67,37.03,1666.8,True,False,True,True,0,0.0,
176,Rev10,10,W007,PX-7500,CH-C,MID-01,Mid,0.52,30.0,36.94,40.26,36.1,1633.9,True,True,True,True,0,0.0,
177,Rev10,10,W007,PX-7500,CH-C,MID-02,Mid,0.52,90.0,38.43,38.76,37.13,1730.8,True,True,True,True,0,0.0,
178,Rev10,10,W007,PX-7500,CH-C,MID-03,Mid,0.52,150.0,39.0,40.43,37.1,1783.1,True,True,True,False,0,0.0,
179,Rev10,10,W007,PX-7500,CH-C,MID-04,Mid,0.52,210.0,38.83,39.14,36.46,1802.4,True,True,True,False,1,4.31,esc_temp_drift
180,Rev10,10,W007,PX-7500,CH-C,MID-05,Mid,0.52,270.0,38.56,39.11,36.86,1735.0,True,True,True,True,0,0.0,
181,Rev10,10,W007,PX-7500,CH-C,MID-06,Mid,0.52,330.0,38.74,38.95,37.7,1740.5,True,True,True,True,1,3.17,pressure_spike
