Wafer_ID,Lot_ID,Slot,fin_width_nm,fin_height_nm,gate_length_nm,gate_ox_thk_nm,hk_thk_nm,sd_epi_thk_nm,contact_cd_nm,m1_width_nm,m1_space_nm,via_cd_nm,vt_n_V,vt_p_V,idsat_uA_um,ss_mV_dec,fin_width_nm__in_spec,fin_height_nm__in_spec,gate_length_nm__in_spec,gate_ox_thk_nm__in_spec,hk_thk_nm__in_spec,sd_epi_thk_nm__in_spec,contact_cd_nm__in_spec,m1_width_nm__in_spec,m1_space_nm__in_spec,via_cd_nm__in_spec,vt_n_V__in_spec,vt_p_V__in_spec,idsat_uA_um__in_spec,ss_mV_dec__in_spec,fail_count,overall_pass,fail_mode
RL001W13,RL001,13,6.82987,55.18326,17.39024,1.22216,1.73787,12.34439,16.73317,18.49379,17.69485,19.02565,0.29677,-0.29481,806.42993,73.6643,False,True,True,False,True,True,True,True,True,True,False,False,False,False,4,False,Metal Migration
RL001W14,RL001,14,6.65526,53.21695,16.89366,1.21202,1.87004,11.5355,16.30367,18.64167,19.03281,17.86408,0.31085,-0.30449,849.80627,70.44272,False,True,True,False,False,True,True,True,True,True,False,False,True,True,3,False,Wear-out
RL001W15,RL001,15,6.73854,56.31019,17.33209,1.21464,1.70079,11.54557,16.7825,18.9178,18.71593,17.52802,0.29764,-0.30347,861.76098,72.77165,False,True,True,False,True,True,True,True,True,True,False,False,True,False,5,False,Metal Migration
RL001W16,RL001,16,6.55045,54.88093,16.99709,1.20406,1.92634,11.68531,16.01854,17.81352,18.50297,18.01935,0.29088,-0.28556,831.5383,73.8084,False,True,True,False,False,True,True,True,True,True,False,False,True,False,4,False,Contact Open
RL001W17,RL001,17,6.89723,54.05356,16.40031,1.23263,1.77488,11.96833,15.69256,18.49506,17.63813,17.77347,0.29452,-0.30267,840.73428,73.72595,False,True,True,False,True,True,True,True,True,True,False,False,True,False,3,False,Junction Leak
RL001W18,RL001,18,7.0007,56.9937,17.28648,1.2692,1.89946,11.84454,15.98115,18.18984,18.22307,17.87436,0.3144,-0.29774,828.84228,71.65732,False,True,True,False,False,True,True,True,True,True,False,False,True,True,4,False,Wear-out
RL001W19,RL001,19,6.57222,56.61624,16.67048,1.25156,1.89116,11.89108,16.55804,17.46212,17.96211,17.80174,0.30454,-0.31006,769.51085,75.90776,False,True,True,False,False,True,True,True,True,True,False,False,False,False,5,False,Vt Shift
RL001W20,RL001,20,6.70706,56.33961,16.58747,1.19781,1.84653,12.44185,16.22233,18.55196,18.86512,17.51398,0.3083,-0.30243,829.24302,72.70714,False,True,True,False,True,True,True,True,True,True,False,False,True,False,3,False,Fin Collapse
RL001W21,RL001,21,6.97616,53.89728,17.01464,1.27827,1.83851,11.32507,15.16806,18.42045,17.74131,18.59767,0.31617,-0.29786,852.28761,72.90447,False,True,True,False,True,False,True,True,True,True,False,False,True,False,3,False,Fin Collapse
RL001W22,RL001,22,6.79508,55.64242,17.4604,1.22427,1.86115,11.78381,16.96022,17.97955,18.91672,18.15614,0.31316,-0.30146,818.70954,70.33081,False,True,True,False,False,True,True,True,True,True,False,False,False,True,4,False,Junction Leak
RL001W23,RL001,23,7.11577,55.5429,16.62256,1.34994,1.76174,11.1438,16.75582,18.78911,18.55843,17.82546,0.29497,-0.30464,784.32662,72.59239,False,True,True,False,True,False,True,True,True,True,False,False,False,False,4,False,Contact Open
RL001W24,RL001,24,6.76921,53.48455,17.12434,1.34224,1.76108,11.43951,16.22628,18.07741,19.32607,18.25185,0.32613,-0.30854,811.81836,74.99816,False,True,True,False,True,False,True,True,True,True,False,False,False,False,6,False,Wear-out
RL001W25,RL001,25,6.71278,57.37541,17.25331,1.26729,1.80958,10.99817,15.69903,19.38128,17.69925,18.23647,0.30646,-0.29937,854.3606,75.37426,False,True,True,False,True,False,True,True,True,True,False,False,True,False,3,False,Fin Collapse
RL002W01,RL002,1,5.96487,54.04012,16.5225,1.06052,1.73095,12.25239,15.664,17.86628,17.7764,17.33998,0.25037,-0.25612,846.23459,69.03446,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W02,RL002,2,5.96312,54.60643,16.3697,1.07254,1.6899,13.03708,16.4127,18.46047,18.15892,17.74016,0.25994,-0.26434,890.12361,67.90669,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W03,RL002,3,5.20844,54.5314,15.89999,1.10802,1.53187,13.05686,15.60701,18.59429,19.67751,17.12894,0.24184,-0.26081,889.87954,65.29982,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W04,RL002,4,5.45713,55.56054,16.28822,1.0382,1.69847,13.40786,15.60618,18.0481,17.75263,17.46373,0.25796,-0.25121,931.2771,71.30596,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W05,RL002,5,5.6682,55.41045,15.77865,1.02478,1.56079,12.24783,15.03694,17.80981,18.25793,17.18033,0.24689,-0.26684,960.19785,64.7055,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W06,RL002,6,6.00866,52.83693,16.05977,1.03446,1.61884,13.42732,15.655,19.02871,18.31106,17.8165,0.2315,-0.24299,917.09555,66.89813,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W07,RL002,7,5.11099,52.7439,16.07141,1.01958,1.55093,13.55961,15.69294,18.63915,18.72342,17.49757,0.25355,-0.25684,900.737,64.57314,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W08,RL002,8,5.97047,55.87136,16.10587,1.01171,1.66209,12.91529,15.01116,18.15905,18.15235,17.71729,0.24828,-0.26849,913.84369,68.88649,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W09,RL002,9,5.61625,53.50748,15.9122,1.01662,1.62159,12.6646,15.99075,18.71055,18.14462,17.73553,0.24871,-0.26671,935.51433,68.50229,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W10,RL002,10,5.83243,54.74254,15.78415,1.09538,1.72624,13.28219,15.28252,18.05759,17.98384,17.71141,0.22481,-0.2715,943.98973,63.56469,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W11,RL002,11,5.72498,54.28719,16.20928,0.99538,1.74013,12.34818,15.74364,17.83409,18.40634,17.26889,0.24667,-0.26605,908.55835,64.31921,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W12,RL002,12,5.37537,53.45503,15.67894,0.96405,1.65017,13.0945,15.19696,17.92197,18.20992,17.45054,0.24968,-0.23736,913.66659,66.83145,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W13,RL002,13,5.8285,53.39197,15.42449,0.93358,1.67115,12.28256,15.44755,19.1783,18.36624,17.84681,0.25091,-0.27359,924.11875,67.82593,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W14,RL002,14,5.60542,54.89644,16.15783,0.99743,1.5801,13.9617,15.93685,18.63729,19.12646,17.42662,0.2275,-0.25234,935.0201,66.61138,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W15,RL002,15,5.52062,54.74921,15.9356,1.02153,1.6781,13.06614,15.97894,16.30445,18.24419,17.96179,0.26188,-0.24671,903.11238,67.0035,True,True,True,True,True,True,True,False,True,True,True,True,True,True,0,True,None
RL002W16,RL002,16,5.64514,56.60986,16.06564,1.00102,1.75904,13.03377,15.75896,18.67023,17.41813,18.15705,0.25642,-0.25662,894.23056,68.79863,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W17,RL002,17,5.47681,54.03956,15.53886,1.00858,1.62963,13.10263,15.78572,18.47461,18.491,17.05629,0.2397,-0.26992,935.60431,63.40883,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W18,RL002,18,5.93261,55.48559,15.69896,1.00137,1.70544,11.57762,16.19028,18.59268,18.59317,16.48693,0.2502,-0.25707,941.04845,64.31779,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,False,Junction Leak
RL002W19,RL002,19,5.43945,54.27436,15.61024,1.00265,1.65997,13.05788,15.92135,18.77818,18.35539,17.80836,0.26954,-0.26107,888.84149,68.34053,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W20,RL002,20,5.82162,52.48006,16.23091,0.99799,1.65314,11.86028,16.12292,17.0673,18.37103,17.15182,0.23527,-0.2531,848.88404,68.79731,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,False,Vt Shift
RL002W21,RL002,21,5.43664,55.49982,15.77966,0.92127,1.64256,12.12238,15.75646,18.37388,18.1254,17.66575,0.24568,-0.2539,907.09695,64.45864,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W22,RL002,22,5.81334,53.90356,15.89613,1.0814,1.69107,11.82611,15.67577,18.31705,18.02043,17.85948,0.25473,-0.25425,898.60725,69.67222,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,False,Vt Shift
RL002W23,RL002,23,5.739,56.45214,16.42937,1.09436,1.74265,12.95314,16.12478,17.17,18.56663,18.08565,0.24428,-0.2475,902.24949,66.39104,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W24,RL002,24,5.62252,54.42063,16.08165,1.02487,1.72561,13.38582,15.6625,18.07596,18.36576,17.55305,0.27154,-0.2735,883.21484,71.48766,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL002W25,RL002,25,5.82576,55.88268,16.13778,1.08681,1.6014,13.0884,15.39057,18.34805,17.60914,17.57845,0.26014,-0.28345,894.14148,72.53455,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,True,None
RL003W01,RL003,1,5.75152,56.71728,16.24956,1.07832,1.59505,12.94256,15.88884,19.47114,18.56786,17.29816,0.25967,-0.23386,904.1406,64.10548,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7,False,Metal Migration
RL003W02,RL003,2,5.50314,56.20354,16.37688,1.09552,1.7145,12.92144,15.87218,18.02705,18.19627,17.48646,0.23829,-0.25027,939.08897,62.87367,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8,False,Metal Migration
RL003W03,RL003,3,5.71854,51.03006,16.16506,1.01308,1.71539,13.61957,14.6881,20.22808,18.86775,18.91517,0.22913,-0.24446,929.77224,65.62705,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,False,Vt Shift
RL003W04,RL003,4,5.65944,52.02237,16.3335,1.09599,1.54884,12.91222,15.42841,17.99471,19.25931,17.43389,0.24278,-0.2542,875.78262,66.29893,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,False,Vt Shift
RL003W05,RL003,5,5.82201,55.38129,16.64482,1.08829,1.705,13.28313,15.8107,19.42274,17.96184,17.24959,0.24633,-0.26873,900.12704,67.87035,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5,False,Wear-out
RL003W06,RL003,6,5.31459,56.07472,15.90423,1.01658,1.67024,13.24632,15.48703,18.83496,18.99562,17.73088,0.26582,-0.24905,969.10035,65.90406,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,False,Wear-out
RL003W07,RL003,7,5.48484,53.948,16.21682,0.97359,1.62625,12.76118,15.22917,19.87952,18.45544,17.00637,0.24665,-0.248,909.6508,65.99262,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,False,Junction Leak
RL003W08,RL003,8,5.62549,55.97722,15.97739,1.03898,1.56945,13.9456,15.01291,17.77671,18.1599,18.7403,0.25633,-0.23832,965.51269,66.43748,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,False,Wear-out
RL003W09,RL003,9,5.89549,53.08116,15.38041,1.03058,1.67176,13.48849,16.10061,17.96645,18.11785,18.01792,0.24603,-0.2426,896.06972,68.02444,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,False,Junction Leak
RL003W10,RL003,10,5.55076,54.86881,16.0429,1.09425,1.5819,13.81843,15.41177,19.20733,18.89934,18.00929,0.25034,-0.23143,940.5386,64.38981,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2,False,Junction Leak
RL003W11,RL003,11,5.75988,54.12566,16.39761,1.07674,1.63339,12.89575,16.04678,18.38048,18.21575,17.74403,0.24066,-0.25693,926.59921,68.36352,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,False,Vt Shift
RL003W12,RL003,12,5.68036,54.3384,16.35109,0.99237,1.58765,13.42457,15.46298,18.91475,18.5113,18.13457,0.22958,-0.24864,886.31576,65.0557,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,False,Wear-out
RL003W13,RL003,13,5.48665,56.06777,16.12322,0.99854,1.67001,13.31088,15.90883,17.82057,19.03501,17.31009,0.23604,-0.24147,897.97956,67.81316,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,False,Metal Migration
RL003W14,RL003,14,5.61344,52.01869,15.83451,1.09896,1.77676,12.48647,14.77797,18.15896,17.90998,18.12755,0.24046,-0.26535,900.59239,66.95319,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5,False,Oxide BD
RL003W15,RL003,15,5.57602,55.62204,15.8952,1.01694,1.75242,12.47209,16.14374,18.18687,18.7308,17.18503,0.23877,-0.26267,926.36817,66.84649,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,False,Vt Shift
RL003W16,RL003,16,5.73135,54.20171,16.19245,0.99577,1.59928,12.55864,16.0692,18.15833,18.3721,17.99196,0.2688,-0.25737,871.72444,65.92424,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,False,Oxide BD
RL003W17,RL003,17,5.16865,54.54049,15.9092,1.11066,1.62858,12.44777,14.67924,18.84687,18.30236,16.76639,0.25602,-0.25929,910.04756,67.17792,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,False,Junction Leak
RL003W18,RL003,18,5.78516,55.30857,15.78502,1.04111,1.68003,12.77689,15.3432,19.5264,18.80888,18.07382,0.22765,-0.25583,936.41064,66.0784,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5,False,Metal Migration
RL003W19,RL003,19,5.30448,54.21585,16.26028,1.04902,1.55078,12.57103,15.43687,18.26976,17.79578,16.90738,0.25085,-0.2387,899.19075,66.27463,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,False,Fin Collapse
RL003W20,RL003,20,5.69702,54.36593,15.67512,1.06676,1.68494,12.25319,16.17592,17.76031,18.00159,17.54469,0.24047,-0.2634,910.85129,67.44877,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,False,Wear-out
RL003W21,RL003,21,5.35251,53.89241,15.7009,1.02709,1.69668,12.99352,15.22215,19.01458,18.97126,17.28632,0.23626,-0.24052,843.38573,66.52056,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2,False,Oxide BD
RL003W22,RL003,22,5.57792,55.73095,15.93766,1.0568,1.57552,13.2238,15.86632,18.62813,18.1726,16.97162,0.23676,-0.26778,912.30838,68.7311,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,False,Contact Open
RL003W23,RL003,23,5.38773,54.33632,16.23895,1.0641,1.68303,12.95106,14.79095,19.42223,18.19579,17.68036,0.24062,-0.2788,905.8167,68.6631,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,False,Wear-out
RL003W24,RL003,24,5.71846,54.89241,15.84098,1.07801,1.62115,12.6974,15.54968,18.44646,17.80857,17.80605,0.25239,-0.26181,915.42286,69.98294,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,False,Oxide BD
RL003W25,RL003,25,5.60261,55.26594,16.01769,1.13724,1.71097,12.0908,16.19952,17.63807,17.80201,17.36274,0.23976,-0.2543,919.55036,67.23984,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,False,Metal Migration
RL004W01,RL004,1,5.84911,54.99323,16.42797,1.03264,1.56336,13.0157,15.79591,17.60733,18.30046,17.3858,0.25608,-0.25673,862.98788,71.06399,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W02,RL004,2,5.41331,54.82291,15.80153,1.0186,1.70394,12.5045,16.20681,18.84266,18.08264,17.26899,0.25886,-0.2598,923.69195,72.47614,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,True,None
RL004W03,RL004,3,5.34541,52.52307,15.44741,0.96929,1.69266,12.18323,15.81997,18.34235,18.63851,17.14278,0.23535,-0.23888,889.15271,65.68172,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W04,RL004,4,5.60982,54.28787,16.31737,1.00331,1.64372,12.9141,15.39452,18.93659,18.28464,17.71687,0.24583,-0.24612,904.77598,65.14653,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W05,RL004,5,5.29187,54.30832,15.83411,1.02167,1.66504,12.97724,15.68269,17.02486,17.98615,17.86036,0.24982,-0.2596,901.8153,65.62888,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W06,RL004,6,5.58736,53.49647,15.84524,1.0085,1.62645,12.47672,15.24378,17.99053,17.87871,17.59145,0.25206,-0.26552,877.97883,71.28702,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W07,RL004,7,5.92875,53.25491,16.31076,1.03206,1.73802,12.93379,15.62019,18.90891,18.42333,17.6631,0.25456,-0.25495,894.99229,66.23554,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W08,RL004,8,5.77053,54.23669,16.46191,1.06225,1.65199,12.31041,15.48823,18.85625,17.67559,18.49148,0.25182,-0.25167,948.82763,64.32632,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W09,RL004,9,5.93888,53.83155,16.22526,1.00041,1.62408,12.54291,14.95002,18.13478,18.48859,18.13177,0.22798,-0.25509,885.29761,65.44537,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W10,RL004,10,5.57498,52.14928,16.29525,1.01915,1.70935,12.32344,15.46047,17.76983,18.67387,17.31974,0.26043,-0.25907,904.36343,64.98916,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,False,Contact Open
RL004W11,RL004,11,5.83757,54.71397,15.95888,1.04858,1.62585,12.1295,15.42771,17.93979,18.57737,17.3666,0.24493,-0.25697,939.09511,67.08924,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W12,RL004,12,6.12305,53.46256,16.50223,1.05854,1.74443,12.76512,15.77568,17.67459,18.86784,18.31412,0.25862,-0.26693,872.41075,66.29884,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,False,Vt Shift
RL004W13,RL004,13,5.36478,51.62281,16.313,0.98099,1.59885,12.60559,15.52453,18.95539,18.23118,16.96571,0.24409,-0.27304,898.86703,65.90202,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W14,RL004,14,5.6816,55.28188,16.17915,0.98408,1.60789,13.10093,15.73124,17.76757,17.68517,17.80147,0.2559,-0.25355,920.93573,66.74413,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W15,RL004,15,5.68257,54.43078,16.43796,1.03266,1.75701,12.987,16.02143,19.68195,19.11875,16.35075,0.25434,-0.26778,874.59007,68.20904,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W16,RL004,16,5.61748,52.9568,16.33765,0.98384,1.71525,13.13618,15.41532,17.39412,18.33641,17.92042,0.24714,-0.25664,895.9171,65.36036,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W17,RL004,17,5.68928,54.71871,16.02048,1.06334,1.73891,12.98206,15.39662,18.94242,18.07757,17.7078,0.24038,-0.26161,912.33676,65.45448,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,False,Junction Leak
RL004W18,RL004,18,5.41942,52.51419,16.26271,1.02383,1.65749,12.72858,15.83718,19.06198,18.47009,17.68134,0.2471,-0.26984,946.39987,65.01431,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W19,RL004,19,5.35047,55.20059,15.97922,0.95082,1.7127,14.22461,15.24476,19.14727,17.63344,18.03094,0.23602,-0.25217,887.82187,67.35387,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W20,RL004,20,5.66901,55.19027,16.6664,1.13813,1.67975,12.88141,15.23061,18.31404,18.36455,17.86174,0.26248,-0.25496,906.76848,66.52672,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W21,RL004,21,5.61094,55.05461,16.38753,0.98312,1.69688,12.92934,15.89775,18.69072,18.12239,16.95871,0.23992,-0.25925,955.86775,69.73602,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W22,RL004,22,5.85938,54.98076,16.41684,1.0931,1.68106,12.49826,15.73432,19.02115,18.79898,17.65882,0.26263,-0.25261,912.45414,66.94884,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W23,RL004,23,5.78598,54.78981,16.40643,1.05196,1.67768,13.00951,14.91664,18.00171,18.44096,17.2817,0.24143,-0.24655,933.84272,68.83065,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL004W24,RL004,24,6.11084,54.92122,16.78585,1.09555,1.73881,11.92877,16.51059,16.86277,18.29078,18.28762,0.25602,-0.2523,876.49962,71.23172,True,True,True,True,True,True,True,False,True,True,True,True,True,True,4,False,Oxide BD
RL004W25,RL004,25,5.82434,53.75015,15.98453,1.10195,1.72093,12.13836,15.53285,18.28579,18.74548,17.62791,0.25046,-0.25326,920.62727,67.52436,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL005W01,RL005,1,6.83936,56.91711,16.45535,1.13089,1.7785,12.28075,15.59055,18.80306,18.71077,17.82149,0.27942,-0.28263,840.0768,73.41501,False,True,True,True,True,True,True,True,True,True,False,True,True,False,0,True,None
RL005W02,RL005,2,6.71765,54.09826,16.59875,1.13229,1.79949,12.123,15.33881,19.11369,19.31526,18.37588,0.28653,-0.28397,876.7804,67.94741,False,True,True,True,True,True,True,True,True,True,False,True,True,True,0,True,None
RL005W03,RL005,3,6.00903,56.2074,16.48669,1.17364,1.78167,11.35425,15.28641,18.81693,18.60552,18.84541,0.26279,-0.28205,858.1138,69.52584,True,True,True,False,True,False,True,True,True,True,True,True,True,True,0,True,None
RL005W04,RL005,4,5.91205,54.74755,16.27302,1.00542,1.7436,12.65969,15.51095,19.09015,18.42812,17.35389,0.2574,-0.26162,883.92809,65.88178,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL005W05,RL005,5,5.98828,55.16812,16.28971,1.10689,1.72285,11.60547,15.37319,19.34956,18.20778,17.45264,0.28447,-0.29554,887.63861,66.43489,True,True,True,True,True,True,True,True,True,True,False,False,True,True,0,True,None
RL005W06,RL005,6,5.86613,55.46496,16.11395,1.16474,1.66224,12.14491,15.64598,17.92339,17.99171,18.27416,0.27364,-0.26042,838.52302,66.73483,True,True,True,False,True,True,True,True,True,True,True,True,True,True,0,True,None
RL005W07,RL005,7,5.90574,55.16353,16.25978,1.10248,1.7724,12.60631,15.89596,18.74708,17.985,18.12477,0.27539,-0.28902,868.06287,67.59749,True,True,True,True,True,True,True,True,True,True,False,False,True,True,0,True,None
RL005W08,RL005,8,5.92331,53.4125,16.49364,1.11581,1.63589,12.23912,15.72859,18.95517,18.48463,18.40877,0.27627,-0.26791,871.66541,71.86404,True,True,True,True,True,True,True,True,True,True,False,True,True,True,0,True,None
RL005W09,RL005,9,5.96473,52.68274,16.96686,1.10489,1.78135,12.33867,15.7568,19.06758,18.51011,17.38838,0.26681,-0.2828,927.17069,65.93239,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL005W10,RL005,10,5.75486,54.56705,16.35291,1.11434,1.78634,12.71681,15.7978,18.87981,17.53172,17.80531,0.25834,-0.2787,875.13886,67.90792,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,None
RL005W11,RL005,11,6.0131,56.83149,16.19257,1.0952,1.74161,12.06995,15.88403,18.81706,18.83704,17.41604,0.27513,-0.27561,860.86117,70.97841,True,True,True,True,True,True,True,True,True,True,False,True,True,True,0,True,None
